State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
HI,Hawaii,06/01/2019,Y,U,Y,4511,,N/A,,4511,,5180,,377,,5557,,140097,,329106,,32.9866,-83.6487,"(32.9866, -83.6487)",303831,,25275,
LA,Louisiana,06/01/2019,Y,U,Y,28345,,N/A,,28345,,29390,,4827,,34217,,720286,,1520704,,37.669,-84.6514,"(37.669, -84.6514)",1403256,,117448,
WI,Wisconsin,06/01/2019,N,U,Y,22657,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,22657,Does Not Include All Applications for Limited-Benefit Programs,16534,"Count is of Households, Not Individuals",922,,17456,,507376,,1040697,,37.768,-78.2057,"(37.768, -78.2057)",971860,,68837,
MS,Mississippi,06/01/2019,N,U,Y,18094,,N/A,,18094,,10905,,619,,11524,,420126,,620078,,38.4623,-92.302,"(38.4623, -92.302)",543479,,76599,
AL,Alabama,06/01/2019,N,U,Y,12752,,N/A,,12752,,13684,,1679,,15363,,655066,,918497,,32.799,-86.8073,"(32.799, -86.8073)",745771,,172726,
TX,Texas,06/01/2019,N,U,Y,130459,,N/A,,130459,,112585,,17293,,129878,,3303909,,4200139,,33.8191,-80.9066,"(33.8191, -80.9066)",3620423,,579716,
MI,Michigan,06/01/2019,Y,U,Y,54431,,N/A,,54431,,49624,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1735,,51359,,936814,Does Not Include All Full-Benefit Child Medicaid enrollees,2305833,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,"(44.6074, -69.3977)",2244066,Does Not Include All Full-Benefit Medicaid enrollees,61767,
SD,South Dakota,06/01/2019,N,U,Y,2450,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2450,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1381,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1381,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",78520,,110442,,18.2766,-66.335,"(18.2766, -66.335)",94830,,15612,
WV,West Virginia,06/01/2019,Y,U,Y,17916,,N/A,,17916,,10214,,517,,10731,,215734,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),514923,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,"(18.0001, -64.8199)",481516,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33407,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MO,Missouri,06/01/2019,N,U,Y,19707,Includes Renewals and/or Redeterminations,N/A,,19707,Includes Renewals and/or Redeterminations,8831,Includes Renewals and/or Redeterminations,294,Includes Renewals and/or Redeterminations,9125,Includes Renewals and/or Redeterminations,526699,,840660,,45.7326,-93.9196,"(45.7326, -93.9196)",807842,,32818,
