State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
DE,Delaware,02/01/2019,Y,U,Y,2606,,N/A,,2606,,4381,,659,,5040,,105861,Includes Limited-Benefit Enrollees,249479,Includes Limited-Benefit Enrollees,38.8964,-77.0262,"(38.8964, -77.0262)",237975,Includes Limited-Benefit Enrollees,11504,
RI,Rhode Island,02/01/2019,Y,U,Y,1982,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,1982,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",2943,,406,,3349,,122340,,305218,,44.5672,-122.1269,"(44.5672, -122.1269)",272489,,32729,
MS,Mississippi,02/01/2019,N,U,Y,18313,,N/A,,18313,,11632,,707,,12339,,422039,,621825,,38.4623,-92.302,"(38.4623, -92.302)",545297,,76528,
WA,Washington,02/01/2019,Y,U,Y,56162,,64862,,121024,,78296,,1490,,79786,,825805,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1723417,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,"(40.1135, -111.8535)",1652983,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),70434,
WY,Wyoming,02/01/2019,N,U,Y,1242,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1242,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,784,,36,,820,,38461,,57594,,44.0407,-72.7093,"(44.0407, -72.7093)",52882,,4712,
SD,South Dakota,02/01/2019,N,U,Y,2171,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2171,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1226,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1226,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79184,,111231,,18.2766,-66.335,"(18.2766, -66.335)",95205,,16026,
ME,Maine,02/01/2019,Y,U,Y,7843,,N/A,,7843,,9114,,644,,9758,,104666,,257984,,39.0724,-76.7902,"(39.0724, -76.7902)",247725,,10259,
AK,Alaska,02/01/2019,Y,U,Y,3865,Includes Renewals and/or Redeterminations,N/A,,3865,Includes Renewals and/or Redeterminations,3084,Includes Renewals and/or Redeterminations; Includes CHIP,173,,3257,Includes Renewals and/or Redeterminations,96172,,217468,,61.385,-152.2683,"(61.385, -152.2683)",202090,,15378,
NY,New York,02/01/2019,Y,U,Y,,,739497,Includes Renewals and/or Redeterminations,739497,Includes Renewals and/or Redeterminations,152115,Includes Renewals and/or Redeterminations,6170,Includes Renewals and/or Redeterminations,158285,Includes Renewals and/or Redeterminations,2506398,Includes Limited-Benefit Enrollees,6545353,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5895161,Includes Limited-Benefit Enrollees,650192,
MT,Montana,02/01/2019,Y,U,Y,3238,,N/A,,3238,,3737,,420,,4157,,128093,,280624,,14.8058,145.5505,"(14.8058, 145.5505)",251191,,29433,
NH,New Hampshire,02/01/2019,Y,U,Y,7106,,N/A,,7106,,4232,,416,,4648,,90588,,182131,,47.5362,-99.793,"(47.5362, -99.793)",166972,,15159,
CO,Colorado,02/01/2019,Y,U,Y,22554,,100,,22654,,19023,,380,,19403,,588504,,1295847,,36.17,-119.7462,"(36.17, -119.7462)",1214595,,81252,
MO,Missouri,02/01/2019,N,U,Y,18443,,N/A,,18443,,8996,,538,,9534,,560520,,882720,,45.7326,-93.9196,"(45.7326, -93.9196)",850474,,32246,
KS,Kansas,02/01/2019,N,U,Y,,,N/A,,,,,,,,,,264506,,380638,,39.8647,-86.2604,"(39.8647, -86.2604)",324594,,56044,
VT,Vermont,02/01/2019,Y,U,Y,5062,,1067,,6129,Includes Renewals and/or Redeterminations,5035,Includes Renewals and/or Redeterminations,176,,5211,,62720,,157910,,31.106,-97.6475,"(31.106, -97.6475)",153307,,4603,
MD,Maryland,02/01/2019,Y,U,Y,7188,,85317,Includes Renewals and/or Redeterminations,92505,Includes Renewals and/or Redeterminations,26166,Includes Renewals and/or Redeterminations,2967,Includes Renewals and/or Redeterminations,29133,Includes Renewals and/or Redeterminations,619242,,1315090,,42.2373,-71.5314,"(42.2373, -71.5314)",1158817,,156273,
CA,California,02/01/2019,Y,U,Y,160957,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,160957,,149920,Does Not Include All Medicaid Determinations Made At Application,14302,Does Not Include All CHIP Determinations Made At Application,164222,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,4962936,,11884268,,33.7712,-111.3877,"(33.7712, -111.3877)",10573509,,1310759,
OR,Oregon,02/01/2019,Y,U,Y,12177,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12177,Does Not Include All Non-MAGI Applications,23045,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2826,,25871,Does Not Include All Non-MAGI Determinations Made At Application,417334,,985423,,40.3736,-82.7755,"(40.3736, -82.7755)",857163,,128260,
