State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,07/01/2018,N,U,Y,20490,,N/A,,20490,,28274,,3002,,31276,,642470,,904059,,32.799,-86.8073,733287,,170772,
DC,District of Columbia,07/01/2018,Y,U,Y,2403,Includes SBM data,813,,3216,Includes Renewals and/or Redeterminations,3195,Includes Renewals and/or Redeterminations; Includes CHIP,,,3195,,,,258839,,41.5834,-72.7622,243426,,15413,
ID,Idaho,07/01/2018,N,U,Y,7529,,,,7529,,6093,,435,,6528,,197414,,274741,,42.0046,-93.214,250297,,24444,
IN,Indiana,07/01/2018,Y,U,Y,84387,,N/A,,84387,,34905,,2736,,37641,,801393,,1448302,,40.3363,-89.0022,1338462,,109840,
OH,Ohio,07/01/2018,Y,U,Y,58502,Includes Renewals and/or Redeterminations,N/A,,58502,Includes Renewals and/or Redeterminations,46417,Includes CHIP; Includes Renewals and/or Redeterminations,2375,,48792,Includes Renewals and/or Redeterminations,1170721,,2727989,,38.4199,-117.1219,2508282,,219707,
NY,New York,07/01/2018,Y,U,Y,,,722351,Includes Renewals and/or Redeterminations,722351,Includes Renewals and/or Redeterminations,109003,Includes Renewals and/or Redeterminations,7199,Includes Renewals and/or Redeterminations,116202,Includes Renewals and/or Redeterminations,2507960,Includes Limited-Benefit Enrollees,6507744,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5882498,Includes Limited-Benefit Enrollees,625246,
AZ,Arizona,07/01/2018,Y,U,Y,113328,,N/A,,113328,,,,,,,,,,1688791,,14.2417,-170.7197,1589042,,99749,
MN,Minnesota,07/01/2018,Y,U,Y,5889,,18362,,24251,,18874,,55,,18929,,541212,,1086267,,43.3504,-84.5603,1084950,,1317,
WV,West Virginia,07/01/2018,Y,U,Y,21749,,N/A,,21749,,11881,,649,,12530,,221315,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),531645,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,498719,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32926,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
HI,Hawaii,07/01/2018,Y,U,Y,5007,,N/A,,5007,,5789,,398,,6187,,142484,,337722,,32.9866,-83.6487,312832,,24890,
