State,Year,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value
Alabama,2015,49.0,330.1
Alaska,2015,8.0,214.9
Arizona,2015,10.0,216.6
Arkansas,2015,47.0,313.4
California,2015,23.0,233.6
Colorado,2015,2.0,196.2
Connecticut,2015,11.0,217.5
Delaware,2015,28.0,245.6
Florida,2015,15.0,221.0
Georgia,2015,36.0,269.8
Hawaii,2015,3.0,203.0
Idaho,2015,19.0,227.7
Illinois,2015,32.0,253.1
Indiana,2015,39.0,275.1
Iowa,2015,27.0,245.4
Kansas,2015,26.0,245.2
Kentucky,2015,43.0,298.1
Louisiana,2015,46.0,306.3
Maine,2015,12.0,218.7
Maryland,2015,30.0,250.1
Massachusetts,2015,4.0,205.6
Michigan,2015,42.0,284.3
Minnesota,2015,1.0,186.5
Mississippi,2015,50.0,344.5
Missouri,2015,41.0,281.4
Montana,2015,18.0,227.6
Nebraska,2015,16.0,224.7
Nevada,2015,38.0,274.8
New Hampshire,2015,7.0,213.3
New Jersey,2015,29.0,245.9
New Mexico,2015,9.0,216.3
New York,2015,34.0,258.5
North Carolina,2015,31.0,251.1
North Dakota,2015,17.0,224.8
Ohio,2015,40.0,276.1
Oklahoma,2015,48.0,322.5
Oregon,2015,5.0,212.0
Pennsylvania,2015,35.0,260.3
Rhode Island,2015,20.0,229.9
South Carolina,2015,37.0,271.8
South Dakota,2015,22.0,232.5
Tennessee,2015,44.0,299.0
Texas,2015,33.0,253.5
Utah,2015,13.0,218.8
Vermont,2015,14.0,220.3
Virginia,2015,25.0,239.1
Washington,2015,6.0,212.9
West Virginia,2015,45.0,299.6
Wisconsin,2015,24.0,237.2
Wyoming,2015,21.0,231.0
District of Columbia,2015,0.0,289.7
United States,2015,0.0,250.8
