State,Year,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value
Alabama,2015,27.0,76.5
Alaska,2015,49.0,66.0
Arizona,2015,40.0,72.1
Arkansas,2015,23.0,77.8
California,2015,37.0,74.5
Colorado,2015,29.0,76.2
Connecticut,2015,9.0,84.2
Delaware,2015,5.0,85.9
Florida,2015,31.0,75.8
Georgia,2015,41.0,71.5
Hawaii,2015,8.0,84.7
Idaho,2015,45.0,70.7
Illinois,2015,15.0,80.9
Indiana,2015,18.0,80.3
Iowa,2015,17.0,80.5
Kansas,2015,16.0,80.6
Kentucky,2015,21.0,79.4
Louisiana,2015,37.0,74.5
Maine,2015,2.0,87.9
Maryland,2015,11.0,82.5
Massachusetts,2015,1.0,89.3
Michigan,2015,10.0,83.9
Minnesota,2015,31.0,75.8
Mississippi,2015,39.0,73.4
Missouri,2015,22.0,79.0
Montana,2015,44.0,70.9
Nebraska,2015,20.0,79.8
Nevada,2015,50.0,64.8
New Hampshire,2015,7.0,84.8
New Jersey,2015,12.0,81.8
New Mexico,2015,47.0,69.2
New York,2015,13.0,81.5
North Carolina,2015,28.0,76.3
North Dakota,2015,43.0,71.0
Ohio,2015,19.0,80.2
Oklahoma,2015,35.0,75.3
Oregon,2015,25.0,77.0
Pennsylvania,2015,6.0,84.9
Rhode Island,2015,4.0,86.3
South Carolina,2015,26.0,76.7
South Dakota,2015,34.0,75.5
Tennessee,2015,33.0,75.7
Texas,2015,48.0,67.1
Utah,2015,42.0,71.1
Vermont,2015,3.0,86.7
Virginia,2015,30.0,75.9
Washington,2015,36.0,74.7
West Virginia,2015,24.0,77.2
Wisconsin,2015,14.0,81.2
Wyoming,2015,46.0,69.5
United States,2015,0.0,76.7
District of Columbia,2015,0.0,74.9
