State,Year,Uninsured_Rank,Uninsured_Value
Alabama,2015,31.0,12.9
Alaska,2015,47.0,17.8
Arizona,2015,41.0,15.4
Arkansas,2015,35.0,13.9
California,2015,38.0,14.8
Colorado,2015,27.0,12.2
Connecticut,2015,6.0,8.2
Delaware,2015,8.0,8.5
Florida,2015,49.0,18.3
Georgia,2015,46.0,17.3
Hawaii,2015,2.0,6.0
Idaho,2015,39.0,14.9
Illinois,2015,20.0,11.2
Indiana,2015,31.0,12.9
Iowa,2015,5.0,7.2
Kansas,2015,20.0,11.2
Kentucky,2015,23.0,11.4
Louisiana,2015,42.0,15.7
Maine,2015,19.0,10.7
Maryland,2015,9.0,9.0
Massachusetts,2015,1.0,3.5
Michigan,2015,13.0,9.7
Minnesota,2015,4.0,7.0
Mississippi,2015,43.0,15.8
Missouri,2015,29.0,12.3
Montana,2015,40.0,15.3
Nebraska,2015,17.0,10.5
Nevada,2015,48.0,17.9
New Hampshire,2015,16.0,9.9
New Jersey,2015,26.0,12.1
New Mexico,2015,45.0,16.6
New York,2015,13.0,9.7
North Carolina,2015,36.0,14.4
North Dakota,2015,10.0,9.1
Ohio,2015,13.0,9.7
Oklahoma,2015,44.0,16.5
Oregon,2015,27.0,12.2
Pennsylvania,2015,10.0,9.1
Rhode Island,2015,12.0,9.5
South Carolina,2015,37.0,14.7
South Dakota,2015,17.0,10.5
Tennessee,2015,31.0,12.9
Texas,2015,50.0,20.6
Utah,2015,34.0,13.3
Vermont,2015,3.0,6.1
Virginia,2015,24.0,11.6
Washington,2015,24.0,11.6
West Virginia,2015,22.0,11.3
Wisconsin,2015,6.0,8.2
Wyoming,2015,30.0,12.7
United States,2015,0.0,13.1
District of Columbia,2015,0.0,5.9
