State,Year,Cholesterol_Check_Rank,Cholesterol_Check_Value
Alabama,2015,19.0,77.6
Alaska,2015,48.0,70.1
Arizona,2015,45.0,72.6
Arkansas,2015,46.0,72.3
California,2015,29.0,75.2
Colorado,2015,25.0,76.4
Connecticut,2015,2.0,83.1
Delaware,2015,9.0,81.0
Florida,2015,12.0,79.5
Georgia,2015,21.0,77.5
Hawaii,2015,27.0,75.8
Idaho,2015,49.0,69.3
Illinois,2015,35.0,74.0
Indiana,2015,31.0,74.5
Iowa,2015,28.0,75.7
Kansas,2015,43.0,73.3
Kentucky,2015,22.0,77.0
Louisiana,2015,26.0,76.2
Maine,2015,5.0,81.4
Maryland,2015,7.0,81.2
Massachusetts,2015,1.0,84.0
Michigan,2015,13.0,79.4
Minnesota,2015,22.0,77.0
Mississippi,2015,34.0,74.3
Missouri,2015,38.0,73.9
Montana,2015,39.0,73.8
Nebraska,2015,35.0,74.0
Nevada,2015,35.0,74.0
New Hampshire,2015,4.0,81.7
New Jersey,2015,9.0,81.0
New Mexico,2015,47.0,71.0
New York,2015,6.0,81.3
North Carolina,2015,14.0,79.2
North Dakota,2015,42.0,73.5
Ohio,2015,18.0,78.2
Oklahoma,2015,41.0,73.6
Oregon,2015,33.0,74.4
Pennsylvania,2015,19.0,77.6
Rhode Island,2015,3.0,81.9
South Carolina,2015,17.0,78.5
South Dakota,2015,44.0,72.8
Tennessee,2015,8.0,81.1
Texas,2015,30.0,74.8
Utah,2015,50.0,68.3
Vermont,2015,15.0,78.8
Virginia,2015,11.0,80.1
Washington,2015,31.0,74.5
West Virginia,2015,16.0,78.7
Wisconsin,2015,24.0,76.6
Wyoming,2015,39.0,73.8
United States,2015,0.0,76.4
District of Columbia,2015,0.0,80.9
