State,Year,Obesity_Rank,Obesity_Value
Alabama,2019,45.0,36.2
Alaska,2019,15.0,29.5
Arizona,2019,15.0,29.5
Arkansas,2019,48.0,37.1
California,2019,5.0,25.8
Colorado,2019,1.0,22.9
Connecticut,2019,7.0,27.4
Delaware,2019,33.0,33.5
Florida,2019,24.0,30.7
Georgia,2019,30.0,32.5
Hawaii,2019,2.0,24.9
Idaho,2019,12.0,28.4
Illinois,2019,27.0,31.8
Indiana,2019,35.0,34.1
Iowa,2019,44.0,35.3
Kansas,2019,38.0,34.4
Kentucky,2019,46.0,36.6
Louisiana,2019,47.0,36.8
Maine,2019,23.0,30.4
Maryland,2019,25.0,30.9
Massachusetts,2019,4.0,25.7
Michigan,2019,31.0,33.0
Minnesota,2019,20.0,30.1
Mississippi,2019,49.0,39.5
Missouri,2019,42.0,35.0
Montana,2019,6.0,26.9
Nebraska,2019,35.0,34.1
Nevada,2019,15.0,29.5
New Hampshire,2019,18.0,29.6
New Jersey,2019,3.0,25.6
New Mexico,2019,29.0,32.3
New York,2019,9.0,27.6
North Carolina,2019,31.0,33.0
North Dakota,2019,43.0,35.1
Ohio,2019,34.0,34.0
Oklahoma,2019,40.0,34.8
Oregon,2019,19.0,29.9
Pennsylvania,2019,25.0,30.9
Rhode Island,2019,10.0,27.7
South Carolina,2019,37.0,34.3
South Dakota,2019,20.0,30.1
Tennessee,2019,38.0,34.4
Texas,2019,40.0,34.8
Utah,2019,10.0,27.7
Vermont,2019,8.0,27.5
Virginia,2019,22.0,30.3
Washington,2019,13.0,28.7
West Virginia,2019,49.0,39.5
Wisconsin,2019,28.0,32.0
Wyoming,2019,14.0,29.0
District of Columbia,2019,0.0,24.7
United States,2019,0.0,30.9
