State,Year,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value
Alaska,2019,29.0,141.2
Alabama,2019,42.0,122.8
United States,2019,0.0,159.6
Arkansas,2019,43.0,122.3
Arizona,2019,40.0,125.8
California,2019,28.0,141.4
Colorado,2019,27.0,143.4
Connecticut,2019,4.0,220.0
District of Columbia,2019,0.0,466.1
Delaware,2019,17.0,166.2
Florida,2019,35.0,131.3
Georgia,2019,41.0,123.9
Hawaii,2019,8.0,193.9
Iowa,2019,22.0,152.2
Idaho,2019,50.0,96.6
Illinois,2019,10.0,190.0
Indiana,2019,38.0,127.2
Kansas,2019,32.0,138.1
Kentucky,2019,39.0,127.0
Louisiana,2019,30.0,139.7
Massachusetts,2019,2.0,247.4
Maryland,2019,9.0,192.1
Maine,2019,7.0,199.1
Michigan,2019,6.0,205.2
Minnesota,2019,16.0,169.5
Missouri,2019,15.0,171.5
Mississippi,2019,47.0,110.8
Montana,2019,44.0,116.0
North Carolina,2019,33.0,134.4
North Dakota,2019,20.0,154.9
Nebraska,2019,19.0,158.2
New Hampshire,2019,18.0,162.9
New Jersey,2019,12.0,181.0
New Mexico,2019,26.0,144.7
Nevada,2019,48.0,107.4
New York,2019,3.0,230.7
Ohio,2019,13.0,178.2
Oklahoma,2019,37.0,131.2
Oregon,2019,25.0,147.4
Pennsylvania,2019,5.0,216.3
Rhode Island,2019,1.0,274.9
South Carolina,2019,35.0,131.3
South Dakota,2019,34.0,131.4
Tennessee,2019,31.0,139.1
Texas,2019,45.0,113.5
Utah,2019,49.0,102.0
Virginia,2019,24.0,148.1
Vermont,2019,11.0,188.7
Washington,2019,23.0,150.0
Wisconsin,2019,21.0,152.4
West Virginia,2019,14.0,172.8
Wyoming,2019,46.0,111.0
