State,Year,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value
Alabama,2019,22.0,78.1
Alaska,2019,50.0,63.0
Arizona,2019,40.0,73.6
Arkansas,2019,16.0,81.3
California,2019,35.0,74.7
Colorado,2019,37.0,74.0
Connecticut,2019,9.0,84.2
Delaware,2019,14.0,81.7
Florida,2019,39.0,73.8
Georgia,2019,44.0,71.8
Hawaii,2019,7.0,85.0
Idaho,2019,45.0,71.1
Illinois,2019,13.0,82.0
Indiana,2019,19.0,79.8
Iowa,2019,12.0,82.5
Kansas,2019,25.0,77.7
Kentucky,2019,17.0,81.0
Louisiana,2019,27.0,76.7
Maine,2019,5.0,85.2
Maryland,2019,10.0,83.6
Massachusetts,2019,1.0,86.7
Michigan,2019,6.0,85.1
Minnesota,2019,32.0,75.8
Mississippi,2019,37.0,74.0
Missouri,2019,28.0,76.6
Montana,2019,41.0,72.8
Nebraska,2019,25.0,77.7
Nevada,2019,46.0,69.5
New Hampshire,2019,2.0,86.2
New Jersey,2019,21.0,79.6
New Mexico,2019,47.0,68.9
New York,2019,18.0,80.4
North Carolina,2019,23.0,78.0
North Dakota,2019,42.0,72.6
Ohio,2019,20.0,79.7
Oklahoma,2019,32.0,75.8
Oregon,2019,34.0,75.0
Pennsylvania,2019,8.0,84.9
Rhode Island,2019,3.0,86.1
South Carolina,2019,30.0,76.1
South Dakota,2019,35.0,74.7
Tennessee,2019,29.0,76.4
Texas,2019,48.0,68.2
Utah,2019,42.0,72.6
Vermont,2019,4.0,85.7
Virginia,2019,24.0,77.8
Washington,2019,31.0,76.0
West Virginia,2019,15.0,81.4
Wisconsin,2019,11.0,82.6
Wyoming,2019,49.0,67.8
District of Columbia,2019,0.0,78.0
United States,2019,0.0,77.7
