State,Year,Injury_Deaths_Rank,Injury_Deaths_Value
Alabama,2019,32.0,84.2
Alaska,2019,48.0,104.2
Arizona,2019,32.0,84.2
Arkansas,2019,35.0,84.6
California,2019,2.0,51.4
Colorado,2019,30.0,82.2
Connecticut,2019,12.0,66.4
Delaware,2019,19.0,75.6
Florida,2019,21.0,76.4
Georgia,2019,15.0,69.7
Hawaii,2019,4.0,55.9
Idaho,2019,26.0,78.4
Illinois,2019,7.0,62.9
Indiana,2019,28.0,79.5
Iowa,2019,11.0,65.8
Kansas,2019,20.0,75.7
Kentucky,2019,47.0,97.6
Louisiana,2019,41.0,89.1
Maine,2019,34.0,84.4
Maryland,2019,24.0,77.8
Massachusetts,2019,8.0,63.4
Michigan,2019,18.0,75.4
Minnesota,2019,10.0,65.3
Mississippi,2019,40.0,89.0
Missouri,2019,39.0,87.7
Montana,2019,44.0,92.2
Nebraska,2019,5.0,59.1
Nevada,2019,28.0,79.5
New Hampshire,2019,37.0,85.4
New Jersey,2019,3.0,55.5
New Mexico,2019,49.0,105.8
New York,2019,1.0,48.4
North Carolina,2019,22.0,76.6
North Dakota,2019,14.0,69.4
Ohio,2019,42.0,89.8
Oklahoma,2019,46.0,97.1
Oregon,2019,16.0,73.1
Pennsylvania,2019,36.0,85.2
Rhode Island,2019,17.0,74.9
South Carolina,2019,38.0,86.4
South Dakota,2019,31.0,82.9
Tennessee,2019,43.0,90.1
Texas,2019,6.0,61.0
Utah,2019,23.0,77.3
Vermont,2019,24.0,77.8
Virginia,2019,9.0,64.4
Washington,2019,13.0,67.5
West Virginia,2019,50.0,119.8
Wisconsin,2019,27.0,79.4
Wyoming,2019,45.0,96.5
United States,2019,0.0,71.0
District of Columbia,2019,0.0,86.8
