State,Year,Infant_Mortality_Rank,Infant_Mortality_Value
Alabama,2019,49.0,8.2
Alaska,2019,15.0,5.5
Arizona,2019,16.0,5.6
Arkansas,2019,48.0,8.1
California,2019,5.0,4.2
Colorado,2019,8.0,4.7
Connecticut,2019,8.0,4.7
Delaware,2019,41.0,7.3
Florida,2019,28.0,6.1
Georgia,2019,43.0,7.4
Hawaii,2019,19.0,5.7
Idaho,2019,13.0,5.4
Illinois,2019,31.0,6.2
Indiana,2019,43.0,7.4
Iowa,2019,19.0,5.7
Kansas,2019,26.0,6.0
Kentucky,2019,36.0,6.6
Louisiana,2019,46.0,7.5
Maine,2019,21.0,5.8
Maryland,2019,35.0,6.5
Massachusetts,2019,1.0,3.8
Michigan,2019,36.0,6.6
Minnesota,2019,11.0,4.9
Mississippi,2019,50.0,8.6
Missouri,2019,33.0,6.4
Montana,2019,16.0,5.6
Nebraska,2019,24.0,5.9
Nevada,2019,21.0,5.8
New Hampshire,2019,2.0,3.9
New Jersey,2019,6.0,4.3
New Mexico,2019,28.0,6.1
New York,2019,7.0,4.5
North Carolina,2019,39.0,7.1
North Dakota,2019,13.0,5.4
Ohio,2019,41.0,7.3
Oklahoma,2019,47.0,7.6
Oregon,2019,12.0,5.0
Pennsylvania,2019,28.0,6.1
Rhode Island,2019,26.0,6.0
South Carolina,2019,38.0,6.7
South Dakota,2019,32.0,6.3
Tennessee,2019,43.0,7.4
Texas,2019,21.0,5.8
Utah,2019,16.0,5.6
Vermont,2019,3.0,4.0
Virginia,2019,24.0,5.9
Washington,2019,4.0,4.1
West Virginia,2019,40.0,7.2
Wisconsin,2019,33.0,6.4
Wyoming,2019,10.0,4.8
United States,2019,0.0,5.8
District of Columbia,2019,0.0,7.6
