State,Year,High_Cholesterol_Rank,High_Cholesterol_Value
Alabama,2019,45.0,37.2
Alaska,2019,12.0,31.2
Arizona,2019,28.0,33.4
Arkansas,2019,43.0,36.8
California,2019,7.0,30.8
Colorado,2019,5.0,30.3
Connecticut,2019,18.0,32.2
Delaware,2019,35.0,34.6
Florida,2019,40.0,35.9
Georgia,2019,10.0,31.1
Hawaii,2019,14.0,31.8
Idaho,2019,7.0,30.8
Illinois,2019,20.0,32.5
Indiana,2019,30.0,34.1
Iowa,2019,30.0,34.1
Kansas,2019,30.0,34.1
Kentucky,2019,49.0,38.1
Louisiana,2019,47.0,37.6
Maine,2019,46.0,37.4
Maryland,2019,20.0,32.5
Massachusetts,2019,19.0,32.4
Michigan,2019,38.0,35.1
Minnesota,2019,3.0,29.0
Mississippi,2019,48.0,37.7
Missouri,2019,33.0,34.3
Montana,2019,2.0,28.8
Nebraska,2019,16.0,31.9
Nevada,2019,27.0,33.1
New Hampshire,2019,23.0,32.8
New Jersey,2019,35.0,34.6
New Mexico,2019,13.0,31.4
New York,2019,22.0,32.6
North Carolina,2019,39.0,35.5
North Dakota,2019,10.0,31.1
Ohio,2019,28.0,33.4
Oklahoma,2019,44.0,37.0
Oregon,2019,17.0,32.1
Pennsylvania,2019,24.0,33.0
Rhode Island,2019,24.0,33.0
South Carolina,2019,42.0,36.7
South Dakota,2019,4.0,29.5
Tennessee,2019,41.0,36.5
Texas,2019,24.0,33.0
Utah,2019,1.0,28.6
Vermont,2019,6.0,30.4
Virginia,2019,37.0,34.7
Washington,2019,14.0,31.8
West Virginia,2019,50.0,39.7
Wisconsin,2019,34.0,34.5
Wyoming,2019,7.0,30.8
United States,2019,0.0,33.0
District of Columbia,2019,0.0,27.5
