State,Year,Cancer_Deaths_Rank,Cancer_Deaths_Value
Alabama,2019,42.0,210.8
Alaska,2019,18.0,185.4
Arizona,2019,4.0,168.5
Arkansas,2019,46.0,217.7
California,2019,5.0,168.9
Colorado,2019,3.0,163.1
Connecticut,2019,8.0,174.2
Delaware,2019,37.0,201.3
Florida,2019,13.0,181.1
Georgia,2019,30.0,194.8
Hawaii,2019,2.0,159.1
Idaho,2019,17.0,184.8
Illinois,2019,34.0,198.7
Indiana,2019,41.0,209.5
Iowa,2019,31.0,195.3
Kansas,2019,29.0,194.7
Kentucky,2019,50.0,233.4
Louisiana,2019,44.0,214.5
Maine,2019,40.0,209.3
Maryland,2019,20.0,187.2
Massachusetts,2019,15.0,182.6
Michigan,2019,36.0,200.9
Minnesota,2019,14.0,181.8
Mississippi,2019,49.0,226.8
Missouri,2019,39.0,206.3
Montana,2019,18.0,185.4
Nebraska,2019,21.0,187.6
Nevada,2019,23.0,189.7
New Hampshire,2019,28.0,192.3
New Jersey,2019,12.0,180.4
New Mexico,2019,7.0,170.0
New York,2019,9.0,176.4
North Carolina,2019,32.0,196.1
North Dakota,2019,10.0,176.8
Ohio,2019,43.0,210.9
Oklahoma,2019,47.0,219.2
Oregon,2019,26.0,190.6
Pennsylvania,2019,35.0,200.2
Rhode Island,2019,27.0,191.7
South Carolina,2019,38.0,201.7
South Dakota,2019,22.0,188.9
Tennessee,2019,45.0,217.2
Texas,2019,11.0,180.3
Utah,2019,1.0,149.8
Vermont,2019,33.0,197.0
Virginia,2019,24.0,190.1
Washington,2019,16.0,184.7
West Virginia,2019,48.0,224.9
Wisconsin,2019,25.0,190.4
Wyoming,2019,6.0,169.5
United States,2019,0.0,189.3
District of Columbia,2019,0.0,195.7
