State,Year,Diabetes_Rank,Diabetes_Value
Alabama,2019,49.0,14.5
Alaska,2019,6.0,8.8
Arizona,2019,23.0,10.8
Arkansas,2019,46.0,13.9
California,2019,19.0,10.4
Colorado,2019,1.0,7.0
Connecticut,2019,12.0,9.7
Delaware,2019,33.0,11.9
Florida,2019,40.0,12.6
Georgia,2019,40.0,12.6
Hawaii,2019,29.0,11.5
Idaho,2019,17.0,10.2
Illinois,2019,15.0,10.0
Indiana,2019,36.0,12.5
Iowa,2019,15.0,10.0
Kansas,2019,31.0,11.6
Kentucky,2019,44.0,13.7
Louisiana,2019,47.0,14.1
Maine,2019,21.0,10.6
Maryland,2019,34.0,12.0
Massachusetts,2019,3.0,8.6
Michigan,2019,32.0,11.7
Minnesota,2019,7.0,8.9
Mississippi,2019,48.0,14.3
Missouri,2019,29.0,11.5
Montana,2019,9.0,9.3
Nebraska,2019,12.0,9.7
Nevada,2019,22.0,10.7
New Hampshire,2019,18.0,10.3
New Jersey,2019,23.0,10.8
New Mexico,2019,36.0,12.5
New York,2019,26.0,11.0
North Carolina,2019,36.0,12.5
North Dakota,2019,11.0,9.4
Ohio,2019,35.0,12.2
Oklahoma,2019,36.0,12.5
Oregon,2019,26.0,11.0
Pennsylvania,2019,28.0,11.3
Rhode Island,2019,25.0,10.9
South Carolina,2019,43.0,13.3
South Dakota,2019,9.0,9.3
Tennessee,2019,45.0,13.8
Texas,2019,40.0,12.6
Utah,2019,2.0,8.4
Vermont,2019,8.0,9.2
Virginia,2019,20.0,10.5
Washington,2019,14.0,9.9
West Virginia,2019,50.0,16.2
Wisconsin,2019,4.0,8.7
Wyoming,2019,4.0,8.7
District of Columbia,2019,0.0,8.4
United States,2019,0.0,10.9
