State,Medicaid_Expanded,Total_Enrollment,Month,Year
Pennsylvania,Y,2911398,Nov,2019
Texas,N,4170853,Nov,2019
North Dakota,Y,89466,Nov,2019
Arizona,Y,1716801,Nov,2019
Kentucky,Y,1187486,Nov,2019
Massachusetts,Y,1556909,Nov,2019
Louisiana,Y,1503023,Nov,2019
Oklahoma,N,716103,Nov,2019
South Carolina,N,1029967,Nov,2019
California,Y,11548401,Nov,2019
Illinois,Y,2807453,Nov,2019
Alabama,N,922597,Nov,2019
Ohio,Y,2617316,Nov,2019
Oregon,Y,984653,Nov,2019
New Mexico,Y,735867,Nov,2019
Montana,Y,261547,Nov,2019
Iowa,Y,690673,Nov,2019
Utah,N,304947,Nov,2019
South Dakota,N,109187,Nov,2019
Washington,Y,1709289,Nov,2019
Arkansas,Y,852157,Nov,2019
New Hampshire,Y,176734,Nov,2019
Vermont,Y,149642,Nov,2019
Maine,Y,255593,Nov,2019
Georgia,N,1801767,Nov,2019
Mississippi,N,607772,Nov,2019
Wyoming,N,53843,Nov,2019
Virginia,Y,1372173,Nov,2019
Wisconsin,N,1035364,Nov,2019
New Jersey,Y,1679110,Nov,2019
Alaska,Y,221152,Nov,2019
Tennessee,N,1433004,Nov,2019
Idaho,N,265065,Nov,2019
Michigan,Y,2284611,Nov,2019
Minnesota,Y,1020355,Nov,2019
West Virginia,Y,510779,Nov,2019
Hawaii,Y,326580,Nov,2019
Nevada,Y,626688,Nov,2019
New York,Y,6480784,Nov,2019
Nebraska,N,243090,Nov,2019
Florida,N,3621088,Nov,2019
Maryland,Y,1317729,Nov,2019
District of Columbia,Y,249832,Nov,2019
Delaware,Y,246494,Nov,2019
Missouri,N,833914,Nov,2019
Rhode Island,Y,290961,Nov,2019
Connecticut,Y,847287,Nov,2019
Kansas,N,374705,Nov,2019
Colorado,Y,1266840,Nov,2019
North Carolina,N,1730817,Nov,2019
Indiana,Y,1461776,Nov,2019
