State,Year,Unemployment_Rate_Rank,Unemployment_Rate_Value
Alaska,2016,47.0,6.7
Alabama,2016,43.0,6.1
United States,2016,0.0,5.3
Arkansas,2016,25.0,5.2
Arizona,2016,42.0,6.0
California,2016,44.0,6.2
Colorado,2016,10.0,3.9
Connecticut,2016,32.0,5.6
District of Columbia,2016,0.0,6.9
Delaware,2016,23.0,5.0
Florida,2016,29.0,5.4
Georgia,2016,36.0,5.8
Hawaii,2016,8.0,3.7
Iowa,2016,5.0,3.6
Idaho,2016,13.0,4.3
Illinois,2016,38.0,5.9
Indiana,2016,20.0,4.8
Kansas,2016,13.0,4.3
Kentucky,2016,29.0,5.4
Louisiana,2016,44.0,6.2
Massachusetts,2016,21.0,4.9
Maryland,2016,25.0,5.2
Maine,2016,16.0,4.4
Michigan,2016,29.0,5.4
Minnesota,2016,9.0,3.8
Missouri,2016,23.0,5.0
Mississippi,2016,46.0,6.5
Montana,2016,11.0,4.1
North Carolina,2016,38.0,5.9
North Dakota,2016,1.0,2.7
Nebraska,2016,2.0,3.0
New Hampshire,2016,3.0,3.4
New Jersey,2016,36.0,5.8
New Mexico,2016,48.0,6.8
Nevada,2016,49.0,6.9
New York,2016,28.0,5.3
Ohio,2016,21.0,4.9
Oklahoma,2016,13.0,4.3
Oregon,2016,34.0,5.7
Pennsylvania,2016,25.0,5.2
Rhode Island,2016,38.0,5.9
South Carolina,2016,38.0,5.9
South Dakota,2016,4.0,3.5
Tennessee,2016,34.0,5.7
Texas,2016,16.0,4.4
Utah,2016,5.0,3.6
Virginia,2016,18.0,4.5
Vermont,2016,5.0,3.6
Washington,2016,32.0,5.6
Wisconsin,2016,19.0,4.6
West Virginia,2016,49.0,6.9
Wyoming,2016,11.0,4.1
