State,Year,Drug_Deaths_Rank,Drug_Deaths_Value
Alabama,2016,18.0,13.1
Alaska,2016,34.0,16.0
Arizona,2016,41.0,18.6
Arkansas,2016,14.0,12.1
California,2016,12.0,11.4
Colorado,2016,33.0,15.9
Connecticut,2016,28.0,15.1
Delaware,2016,39.0,18.1
Florida,2016,21.0,13.2
Georgia,2016,10.0,11.2
Hawaii,2016,10.0,11.2
Idaho,2016,18.0,13.1
Illinois,2016,16.0,12.6
Indiana,2016,35.0,16.7
Iowa,2016,4.0,8.9
Kansas,2016,13.0,11.7
Kentucky,2016,48.0,24.1
Louisiana,2016,30.0,15.6
Maine,2016,24.0,13.6
Maryland,2016,29.0,15.3
Massachusetts,2016,31.0,15.7
Michigan,2016,31.0,15.7
Minnesota,2016,5.0,9.3
Mississippi,2016,8.0,11.0
Missouri,2016,36.0,17.0
Montana,2016,17.0,12.8
Nebraska,2016,3.0,7.1
Nevada,2016,43.0,20.9
New Hampshire,2016,38.0,17.9
New Jersey,2016,26.0,14.0
New Mexico,2016,49.0,24.7
New York,2016,9.0,11.1
North Carolina,2016,22.0,13.3
North Dakota,2016,1.0,4.0
Ohio,2016,45.0,21.1
Oklahoma,2016,43.0,20.9
Oregon,2016,15.0,12.3
Pennsylvania,2016,42.0,19.8
Rhode Island,2016,46.0,21.4
South Carolina,2016,23.0,13.4
South Dakota,2016,2.0,6.6
Tennessee,2016,40.0,18.3
Texas,2016,6.0,9.6
Utah,2016,47.0,22.8
Vermont,2016,18.0,13.1
Virginia,2016,7.0,10.1
Washington,2016,25.0,13.8
West Virginia,2016,50.0,32.2
Wisconsin,2016,26.0,14.0
Wyoming,2016,37.0,17.7
United States,2016,0.0,14.0
District of Columbia,2016,0.0,15.3
