State,Year,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value
Alabama,2016,23.0,79.1
Alaska,2016,50.0,64.7
Arizona,2016,44.0,72.5
Arkansas,2016,12.0,83.5
California,2016,37.0,76.6
Colorado,2016,38.0,76.2
Connecticut,2016,7.0,85.2
Delaware,2016,10.0,84.9
Florida,2016,31.0,77.9
Georgia,2016,45.0,71.6
Hawaii,2016,11.0,84.8
Idaho,2016,43.0,73.0
Illinois,2016,15.0,82.6
Indiana,2016,18.0,81.3
Iowa,2016,19.0,81.1
Kansas,2016,22.0,79.9
Kentucky,2016,14.0,82.8
Louisiana,2016,34.0,77.4
Maine,2016,3.0,88.4
Maryland,2016,7.0,85.2
Massachusetts,2016,1.0,88.9
Michigan,2016,7.0,85.2
Minnesota,2016,36.0,76.8
Mississippi,2016,30.0,78.1
Missouri,2016,32.0,77.7
Montana,2016,40.0,74.0
Nebraska,2016,21.0,80.3
Nevada,2016,48.0,66.8
New Hampshire,2016,2.0,88.5
New Jersey,2016,16.0,82.0
New Mexico,2016,46.0,70.7
New York,2016,13.0,83.0
North Carolina,2016,28.0,78.3
North Dakota,2016,42.0,73.6
Ohio,2016,16.0,82.0
Oklahoma,2016,39.0,74.8
Oregon,2016,27.0,78.5
Pennsylvania,2016,6.0,86.8
Rhode Island,2016,4.0,88.0
South Carolina,2016,29.0,78.2
South Dakota,2016,24.0,79.0
Tennessee,2016,33.0,77.6
Texas,2016,49.0,66.7
Utah,2016,41.0,73.9
Vermont,2016,5.0,87.9
Virginia,2016,26.0,78.7
Washington,2016,35.0,77.1
West Virginia,2016,24.0,79.0
Wisconsin,2016,20.0,80.5
Wyoming,2016,47.0,69.4
United States,2016,0.0,79.0
District of Columbia,2016,0.0,80.2
