State,Year,Cancer_Deaths_Rank,Cancer_Deaths_Value
Alabama,2016,43.0,211.1
Alaska,2016,29.0,193.3
Arizona,2016,6.0,170.0
Arkansas,2016,46.0,218.1
California,2016,5.0,169.9
Colorado,2016,3.0,161.8
Connecticut,2016,8.0,173.2
Delaware,2016,34.0,198.5
Florida,2016,15.0,182.1
Georgia,2016,30.0,194.4
Hawaii,2016,2.0,158.4
Idaho,2016,10.0,177.8
Illinois,2016,35.0,199.6
Indiana,2016,42.0,210.5
Iowa,2016,30.0,194.4
Kansas,2016,28.0,192.6
Kentucky,2016,50.0,232.2
Louisiana,2016,47.0,218.7
Maine,2016,39.0,203.1
Maryland,2016,23.0,189.2
Massachusetts,2016,18.0,184.8
Michigan,2016,37.0,201.0
Minnesota,2016,11.0,179.2
Mississippi,2016,49.0,227.5
Missouri,2016,41.0,209.3
Montana,2016,13.0,179.8
Nebraska,2016,20.0,186.9
Nevada,2016,22.0,189.1
New Hampshire,2016,21.0,188.0
New Jersey,2016,17.0,183.0
New Mexico,2016,4.0,168.3
New York,2016,12.0,179.6
North Carolina,2016,33.0,196.2
North Dakota,2016,9.0,176.2
Ohio,2016,40.0,208.6
Oklahoma,2016,44.0,215.2
Oregon,2016,26.0,190.9
Pennsylvania,2016,36.0,199.8
Rhode Island,2016,32.0,195.2
South Carolina,2016,38.0,202.7
South Dakota,2016,19.0,185.5
Tennessee,2016,45.0,215.6
Texas,2016,16.0,182.2
Utah,2016,1.0,149.3
Vermont,2016,25.0,190.5
Virginia,2016,23.0,189.2
Washington,2016,14.0,182.0
West Virginia,2016,48.0,223.9
Wisconsin,2016,27.0,191.6
Wyoming,2016,7.0,172.0
District of Columbia,2016,0.0,208.5
United States,2016,0.0,189.9
