State,Year,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value
Alabama,2016,20.0,26.9
Alaska,2016,13.0,25.1
Arizona,2016,43.0,31.4
Arkansas,2016,10.0,23.8
California,2016,50.0,38.0
Colorado,2016,48.0,33.9
Connecticut,2016,42.0,31.3
Delaware,2016,45.0,32.4
Florida,2016,44.0,31.6
Georgia,2016,29.0,28.5
Hawaii,2016,1.0,14.8
Idaho,2016,23.0,27.4
Illinois,2016,33.0,29.1
Indiana,2016,7.0,22.4
Iowa,2016,41.0,30.8
Kansas,2016,22.0,27.3
Kentucky,2016,5.0,21.9
Louisiana,2016,12.0,24.8
Maine,2016,34.0,29.2
Maryland,2016,26.0,27.7
Massachusetts,2016,46.0,33.1
Michigan,2016,18.0,26.3
Minnesota,2016,14.0,25.7
Mississippi,2016,9.0,22.6
Missouri,2016,6.0,22.0
Montana,2016,25.0,27.5
Nebraska,2016,32.0,29.0
Nevada,2016,16.0,25.8
New Hampshire,2016,23.0,27.4
New Jersey,2016,36.0,29.4
New Mexico,2016,40.0,30.5
New York,2016,14.0,25.7
North Carolina,2016,31.0,28.6
North Dakota,2016,34.0,29.2
Ohio,2016,26.0,27.7
Oklahoma,2016,2.0,19.9
Oregon,2016,38.0,30.3
Pennsylvania,2016,37.0,29.8
Rhode Island,2016,47.0,33.7
South Carolina,2016,21.0,27.2
South Dakota,2016,8.0,22.5
Tennessee,2016,3.0,20.5
Texas,2016,28.0,28.4
Utah,2016,38.0,30.3
Vermont,2016,49.0,35.6
Virginia,2016,29.0,28.5
Washington,2016,19.0,26.7
West Virginia,2016,11.0,24.6
Wisconsin,2016,16.0,25.8
Wyoming,2016,4.0,20.9
United States,2016,0.0,29.5
District of Columbia,2016,0.0,29.0
