State,Year,Cholesterol_Check_Rank,Cholesterol_Check_Value
Alabama,2016,14.0,79.9
Alaska,2016,49.0,69.2
Arizona,2016,27.0,76.9
Arkansas,2016,29.0,76.8
California,2016,27.0,76.9
Colorado,2016,24.0,77.7
Connecticut,2016,4.0,83.3
Delaware,2016,9.0,81.2
Florida,2016,15.0,79.7
Georgia,2016,17.0,79.2
Hawaii,2016,44.0,73.2
Idaho,2016,46.0,72.3
Illinois,2016,22.0,78.2
Indiana,2016,43.0,73.5
Iowa,2016,33.0,75.7
Kansas,2016,41.0,74.1
Kentucky,2016,31.0,76.5
Louisiana,2016,24.0,77.7
Maine,2016,9.0,81.2
Maryland,2016,1.0,83.7
Massachusetts,2016,1.0,83.7
Michigan,2016,17.0,79.2
Minnesota,2016,21.0,78.3
Mississippi,2016,32.0,76.0
Missouri,2016,34.0,75.6
Montana,2016,38.0,74.6
Nebraska,2016,35.0,75.1
Nevada,2016,37.0,74.7
New Hampshire,2016,5.0,82.9
New Jersey,2016,3.0,83.4
New Mexico,2016,47.0,72.1
New York,2016,13.0,80.0
North Carolina,2016,7.0,81.7
North Dakota,2016,48.0,71.8
Ohio,2016,23.0,77.9
Oklahoma,2016,40.0,74.3
Oregon,2016,30.0,76.6
Pennsylvania,2016,19.0,79.1
Rhode Island,2016,8.0,81.4
South Carolina,2016,20.0,79.0
South Dakota,2016,42.0,74.0
Tennessee,2016,12.0,80.2
Texas,2016,45.0,72.6
Utah,2016,50.0,68.3
Vermont,2016,16.0,79.6
Virginia,2016,11.0,81.1
Washington,2016,39.0,74.5
West Virginia,2016,6.0,82.3
Wisconsin,2016,26.0,77.5
Wyoming,2016,36.0,74.9
United States,2016,0.0,77.7
District of Columbia,2016,0.0,84.0
