State,Year,Diabetes_Rank,Diabetes_Value
Alabama,2016,48.0,13.5
Alaska,2016,3.0,7.6
Arizona,2016,27.0,10.1
Arkansas,2016,44.0,12.6
California,2016,26.0,10.0
Colorado,2016,1.0,6.8
Connecticut,2016,19.0,9.3
Delaware,2016,39.0,11.5
Florida,2016,35.0,11.3
Georgia,2016,35.0,11.3
Hawaii,2016,12.0,8.5
Idaho,2016,6.0,8.1
Illinois,2016,24.0,9.9
Indiana,2016,37.0,11.4
Iowa,2016,14.0,8.8
Kansas,2016,21.0,9.7
Kentucky,2016,47.0,13.4
Louisiana,2016,45.0,12.7
Maine,2016,24.0,9.9
Maryland,2016,28.0,10.3
Massachusetts,2016,16.0,8.9
Michigan,2016,31.0,10.7
Minnesota,2016,3.0,7.6
Mississippi,2016,50.0,14.7
Missouri,2016,39.0,11.5
Montana,2016,5.0,7.9
Nebraska,2016,14.0,8.8
Nevada,2016,21.0,9.7
New Hampshire,2016,6.0,8.1
New Jersey,2016,17.0,9.0
New Mexico,2016,39.0,11.5
New York,2016,23.0,9.8
North Carolina,2016,31.0,10.7
North Dakota,2016,13.0,8.7
Ohio,2016,34.0,11.0
Oklahoma,2016,42.0,11.7
Oregon,2016,31.0,10.7
Pennsylvania,2016,30.0,10.4
Rhode Island,2016,17.0,9.0
South Carolina,2016,43.0,11.8
South Dakota,2016,19.0,9.3
Tennessee,2016,45.0,12.7
Texas,2016,37.0,11.4
Utah,2016,2.0,7.0
Vermont,2016,8.0,8.2
Virginia,2016,28.0,10.3
Washington,2016,9.0,8.4
West Virginia,2016,49.0,14.5
Wisconsin,2016,9.0,8.4
Wyoming,2016,9.0,8.4
United States,2016,0.0,9.9
District of Columbia,2016,0.0,8.5
