State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MA,Massachusetts,11/01/2017,Y,U,Y,21116,,6001,,27117,,,,,,,,,1658133,,31.1801,-91.8749,1473753,,184380,
IL,Illinois,11/01/2017,Y,U,Y,78173,,N/A,,78173,,25386,,8197,,33583,,,3045842,,44.2394,-114.5103,2799423,,246419,
UT,Utah,11/01/2017,N,U,Y,27471,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,27471,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",41408,Includes CHIP,,,41408,,,303346,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,255908,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,47438,
VT,Vermont,11/01/2017,Y,U,Y,3092,,2118,,5210,Includes Renewals and/or Redeterminations,5010,Includes Renewals and/or Redeterminations,134,,5144,,,163604,,31.106,-97.6475,158900,,4704,
WA,Washington,11/01/2017,Y,U,Y,19298,,135220,,154518,,50631,,2048,,52679,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1769515,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1710673,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),58842,
DC,District of Columbia,11/01/2017,Y,U,Y,1190,Includes SBM data,2250,,3440,Includes Renewals and/or Redeterminations,3440,Includes Renewals and/or Redeterminations; Includes CHIP,,,3440,,,264513,,41.5834,-72.7622,252598,,11915,
NE,Nebraska,11/01/2017,N,U,Y,6454,,N/A,,6454,,6670,,1030,,7700,,,247722,,35.6411,-79.8431,214129,,33593,
OH,Ohio,11/01/2017,Y,U,Y,75116,Includes Renewals and/or Redeterminations,N/A,,75116,Includes Renewals and/or Redeterminations,44647,Includes CHIP; Includes Renewals and/or Redeterminations,2804,,47451,Includes Renewals and/or Redeterminations,,2870477,,38.4199,-117.1219,2652901,,217576,
IA,Iowa,11/01/2017,Y,U,Y,16386,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16386,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,2856,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,2856,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,665196,,21.1098,-157.5311,600964,,64232,
FL,Florida,11/01/2017,N,U,Y,248287,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,248287,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,137235,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23557,,160792,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,,3810911,,39.3498,-75.5148,3610069,,200842,
MS,Mississippi,11/01/2017,N,U,Y,18628,,N/A,,18628,,10245,,393,,10638,,,651209,,38.4623,-92.302,572012,,79197,
MD,Maryland,11/01/2017,Y,U,Y,7737,,123157,Includes Renewals and/or Redeterminations,130894,Includes Renewals and/or Redeterminations,29647,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",5153,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",34800,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,1317089,,42.2373,-71.5314,1169636,,147453,
ID,Idaho,11/01/2017,N,U,Y,14436,,,,14436,,5802,,501,,6303,,,296910,,42.0046,-93.214,274802,,22108,
NJ,New Jersey,11/01/2017,Y,U,Y,30806,,N/A,,30806,,16481,Does Not Include All Medicaid Determinations Made At Application,6932,Does Not Include All CHIP Determinations Made At Application,23413,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1774040,,41.1289,-98.2883,1570565,,203475,
SC,South Carolina,11/01/2017,N,U,Y,20845,,N/A,,20845,,7844,Does Not Include All Medicaid Determinations Made At Application,160,Does Not Include All CHIP Determinations Made At Application,8004,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1034151,,40.5773,-77.264,953248,,80903,
GA,Georgia,11/01/2017,N,U,Y,49329,,N/A,,49329,,32942,,1184,,34126,,,1806068,,27.8333,-81.717,1618925,,187143,
WV,West Virginia,11/01/2017,Y,U,Y,21481,,N/A,,21481,,11473,,623,,12096,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),541303,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,508706,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32597,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MN,Minnesota,11/01/2017,Y,U,Y,5552,,34176,,39728,,22489,,35,,22524,,,1075335,,43.3504,-84.5603,1073984,,1351,
AZ,Arizona,11/01/2017,Y,U,Y,,,N/A,,,,,,,,,,,1728003,,14.2417,-170.7197,1630614,,97389,
MI,Michigan,11/01/2017,Y,U,Y,50249,,N/A,,50249,,57437,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1758,,59195,,Does Not Include All Full-Benefit Child Medicaid enrollees,2357576,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2300482,Does Not Include All Full-Benefit Medicaid enrollees,57094,
AK,Alaska,11/01/2017,Y,U,Y,4320,Includes Renewals and/or Redeterminations,N/A,,4320,Includes Renewals and/or Redeterminations,3337,Includes Renewals and/or Redeterminations; Includes CHIP,,,3337,Includes Renewals and/or Redeterminations,,201672,,61.385,-152.2683,188630,,13042,
WI,Wisconsin,11/01/2017,N,U,Y,25772,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,25772,Does Not Include All Applications for Limited-Benefit Programs,21058,"Count is of Households, Not Individuals",1635,,22693,,,1035671,,37.768,-78.2057,969991,,65680,
TN,Tennessee,11/01/2017,N,U,Y,504,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,504,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,439,,439,Does Not Include All Medicaid Determinations Made At Application,,1543255,,41.6772,-71.5101,1462715,,80540,
WY,Wyoming,11/01/2017,N,U,Y,2276,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2276,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,687,,19,,706,,,61639,,44.0407,-72.7093,56989,,4650,
RI,Rhode Island,11/01/2017,Y,U,Y,5946,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,5946,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",7350,,869,,8219,,,313203,,44.5672,-122.1269,284078,,29125,
CA,California,11/01/2017,Y,U,Y,236257,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,236257,,155204,Does Not Include All Medicaid Determinations Made At Application,11959,Does Not Include All CHIP Determinations Made At Application,167163,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12194344,,33.7712,-111.3877,10892189,,1302155,
ME,Maine,11/01/2017,Y,U,Y,1293,,N/A,,1293,,9872,,468,,10340,,,263795,,39.0724,-76.7902,259149,,4646,
MT,Montana,11/01/2017,Y,U,Y,2766,,N/A,,2766,,2743,,174,,2917,,,266302,,14.8058,145.5505,239855,,26447,
AR,Arkansas,11/01/2017,Y,U,Y,17877,,N/A,,17877,,10201,,333,,10534,,,918536,,34.9513,-92.3809,836536,,82000,
NH,New Hampshire,11/01/2017,Y,U,Y,7897,,N/A,,7897,,6027,,699,,6726,,,188951,,47.5362,-99.793,174152,,14799,
AL,Alabama,11/01/2017,N,U,Y,17690,,N/A,,17690,,25298,,3781,,29079,,,899350,,32.799,-86.8073,726686,,172664,
IN,Indiana,11/01/2017,Y,U,Y,71322,,N/A,,71322,,32912,,2966,,35878,,,1484338,,40.3363,-89.0022,1378242,,106096,
TX,Texas,11/01/2017,N,U,Y,118902,,N/A,,118902,,82695,,14388,,97083,,,4479268,,33.8191,-80.9066,3914664,,564604,
VA,Virginia,11/01/2017,Y,U,Y,22728,Includes Renewals and/or Redeterminations,N/A,,22728,Includes Renewals and/or Redeterminations,13077,Includes Renewals and/or Redeterminations,553,Includes Renewals and/or Redeterminations,13630,Includes Renewals and/or Redeterminations,,1027932,,35.7449,-86.7489,894177,,133755,
PA,Pennsylvania,11/01/2017,Y,U,Y,90081,Includes Renewals and/or Redeterminations,N/A,,90081,Includes Renewals and/or Redeterminations,56510,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",9602,"Count is of Households, Not Individuals",66112,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2984037,,35.5376,-96.9247,2803875,,180162,
NC,North Carolina,11/01/2017,N,U,Y,22383,,N/A,,22383,,33096,,3275,,36371,,,1787628,,32.7673,-89.6812,1553211,,234417,
NY,New York,11/01/2017,Y,U,Y,,,951712,Includes Renewals and/or Redeterminations,951712,Includes Renewals and/or Redeterminations,129450,Includes Renewals and/or Redeterminations,11195,Includes Renewals and/or Redeterminations,140645,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6462233,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5864794,Includes Limited-Benefit Enrollees,597439,
