State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,07/01/2017,N,U,Y,17118,,N/A,,17118,,25313,,3352,,28665,,,892956,,32.799,-86.8073,735382,,157574,
AK,Alaska,07/01/2017,Y,U,Y,3265,Includes Renewals and/or Redeterminations,N/A,,3265,Includes Renewals and/or Redeterminations,3159,Includes Renewals and/or Redeterminations; Includes CHIP,,,3159,Includes Renewals and/or Redeterminations,,196121,,61.385,-152.2683,183516,,12605,
AZ,Arizona,07/01/2017,Y,U,Y,,,N/A,,,,,,,,,,,1745097,,14.2417,-170.7197,1649135,,95962,
CA,California,07/01/2017,Y,U,Y,148595,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,148595,,148733,Does Not Include All Medicaid Determinations Made At Application,10213,Does Not Include All CHIP Determinations Made At Application,158946,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12277389,,33.7712,-111.3877,10988391,,1288998,
DC,District of Columbia,07/01/2017,Y,U,Y,2133,Includes SBM data,1675,,3808,Includes Renewals and/or Redeterminations,3762,Includes Renewals and/or Redeterminations; Includes CHIP,,,3762,,,261683,,41.5834,-72.7622,251053,,10630,
GA,Georgia,07/01/2017,N,U,Y,55987,,N/A,,55987,,29474,,836,,30310,,,1754492,,27.8333,-81.717,1577997,,176495,
HI,Hawaii,07/01/2017,Y,U,Y,4649,,N/A,,4649,,7445,,403,,7848,,,346435,,32.9866,-83.6487,322552,,23883,
ID,Idaho,07/01/2017,N,U,Y,6880,,,,6880,,5099,,252,,5351,,,294571,,42.0046,-93.214,272084,,22487,
IL,Illinois,07/01/2017,Y,U,Y,67016,,N/A,,67016,,38361,,11994,,50355,,,3073670,,44.2394,-114.5103,2820285,,253385,
IN,Indiana,07/01/2017,Y,U,Y,74080,,N/A,,74080,,31529,,2201,,33730,,,1494850,,40.3363,-89.0022,1391039,,103811,
IA,Iowa,07/01/2017,Y,U,Y,16281,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16281,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,2814,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,2814,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,666420,,21.1098,-157.5311,603890,,62530,
ME,Maine,07/01/2017,Y,U,Y,1438,,N/A,,1438,,8978,,329,,9307,,,266623,,39.0724,-76.7902,262362,,4261,
MD,Maryland,07/01/2017,Y,U,Y,7250,,85553,Includes Renewals and/or Redeterminations,92803,Includes Renewals and/or Redeterminations,25473,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",3790,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",29263,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,1306788,,42.2373,-71.5314,1161097,,145691,
MA,Massachusetts,07/01/2017,Y,U,Y,22441,,6227,,28668,,,,,,,,,1627506,,31.1801,-91.8749,1454257,,173249,
MI,Michigan,07/01/2017,Y,U,Y,44384,,N/A,,44384,,42618,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1013,,43631,,Does Not Include All Full-Benefit Child Medicaid enrollees,2380232,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2325893,Does Not Include All Full-Benefit Medicaid enrollees,54339,
MN,Minnesota,07/01/2017,Y,U,Y,5702,,22013,,27715,,26556,,38,,26594,,,1065061,,43.3504,-84.5603,1063615,,1446,
MS,Mississippi,07/01/2017,N,U,Y,16488,,N/A,,16488,,11318,,382,,11700,,,656733,,38.4623,-92.302,576497,,80236,
MT,Montana,07/01/2017,Y,U,Y,3652,,N/A,,3652,,3859,,234,,4093,,,262329,,14.8058,145.5505,233915,,28414,
NE,Nebraska,07/01/2017,N,U,Y,5877,,N/A,,5877,,5827,,671,,6498,,,245909,,35.6411,-79.8431,213522,,32387,
NH,New Hampshire,07/01/2017,Y,U,Y,7835,,N/A,,7835,,4959,,497,,5456,,,187798,,47.5362,-99.793,173900,,13898,
NJ,New Jersey,07/01/2017,Y,U,Y,29836,,N/A,,29836,,10479,Does Not Include All Medicaid Determinations Made At Application,3084,Does Not Include All CHIP Determinations Made At Application,13563,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1778951,,41.1289,-98.2883,1576418,,202533,
NY,New York,07/01/2017,Y,U,Y,,,720386,Includes Renewals and/or Redeterminations,720386,Includes Renewals and/or Redeterminations,119359,Includes Renewals and/or Redeterminations,13866,Includes Renewals and/or Redeterminations,133225,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6421323,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5843881,Includes Limited-Benefit Enrollees,577442,
NC,North Carolina,07/01/2017,N,U,Y,20267,,N/A,,20267,,28251,,3229,,31480,,,1789708,,32.7673,-89.6812,1564402,,225306,
