State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
ME,Maine,12/01/2017,Y,U,Y,1254,,N/A,,1254,,9271,,384,,9655,,,263741,,39.0724,-76.7902,259047,,4694,
MT,Montana,12/01/2017,Y,U,Y,3639,,N/A,,3639,,3762,,369,,4131,,,274234,,14.8058,145.5505,247246,,26988,
TN,Tennessee,12/01/2017,N,U,Y,504,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,504,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,422,,422,Does Not Include All Medicaid Determinations Made At Application,,1548572,,41.6772,-71.5101,1467252,,81320,
MI,Michigan,12/01/2017,Y,U,Y,44809,,N/A,,44809,,53232,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1609,,54841,,Does Not Include All Full-Benefit Child Medicaid enrollees,2366223,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2308978,Does Not Include All Full-Benefit Medicaid enrollees,57245,
AK,Alaska,12/01/2017,Y,U,Y,3446,Includes Renewals and/or Redeterminations,N/A,,3446,Includes Renewals and/or Redeterminations,3825,Includes Renewals and/or Redeterminations; Includes CHIP,,,3825,Includes Renewals and/or Redeterminations,,200369,,61.385,-152.2683,187450,,12919,
WI,Wisconsin,12/01/2017,N,U,Y,24237,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,24237,Does Not Include All Applications for Limited-Benefit Programs,22412,"Count is of Households, Not Individuals",2037,,24449,,,1034480,,37.768,-78.2057,967931,,66549,
NC,North Carolina,12/01/2017,N,U,Y,18712,,N/A,,18712,,31737,,3285,,35022,,,1789111,,32.7673,-89.6812,1552761,,236350,
NJ,New Jersey,12/01/2017,Y,U,Y,33269,,N/A,,33269,,14894,Does Not Include All Medicaid Determinations Made At Application,5853,Does Not Include All CHIP Determinations Made At Application,20747,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1779163,,41.1289,-98.2883,1574029,,205134,
MS,Mississippi,12/01/2017,N,U,Y,16598,,N/A,,16598,,10075,,440,,10515,,,646923,,38.4623,-92.302,567854,,79069,
SC,South Carolina,12/01/2017,N,U,Y,19106,,N/A,,19106,,7570,Does Not Include All Medicaid Determinations Made At Application,155,Does Not Include All CHIP Determinations Made At Application,7725,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1036707,,40.5773,-77.264,954803,,81904,
AL,Alabama,12/01/2017,N,U,Y,16429,,N/A,,16429,,23207,,2701,,25908,,,899570,,32.799,-86.8073,726718,,172852,
VA,Virginia,12/01/2017,Y,U,Y,19888,Includes Renewals and/or Redeterminations,N/A,,19888,Includes Renewals and/or Redeterminations,15023,Includes Renewals and/or Redeterminations,698,Includes Renewals and/or Redeterminations,15721,Includes Renewals and/or Redeterminations,,1028297,,35.7449,-86.7489,893007,,135290,
IN,Indiana,12/01/2017,Y,U,Y,76120,,N/A,,76120,,30553,,2579,,33132,,,1478130,,40.3363,-89.0022,1371242,,106888,
WY,Wyoming,12/01/2017,N,U,Y,1452,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1452,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,634,,1268,,1902,,,61072,,44.0407,-72.7093,56433,,4639,
OH,Ohio,12/01/2017,Y,U,Y,69697,Includes Renewals and/or Redeterminations,N/A,,69697,Includes Renewals and/or Redeterminations,40995,Includes CHIP; Includes Renewals and/or Redeterminations,2595,,43590,Includes Renewals and/or Redeterminations,,2845785,,38.4199,-117.1219,2629135,,216650,
