State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,06/01/2017,N,U,Y,16449,,N/A,,16449,,25370,,3264,,28634,,,891332,,32.799,-86.8073,734933,,156399,
AK,Alaska,06/01/2017,Y,U,Y,3069,Includes Renewals and/or Redeterminations,N/A,,3069,Includes Renewals and/or Redeterminations,3422,Includes Renewals and/or Redeterminations; Includes CHIP,,,3422,Includes Renewals and/or Redeterminations,,194534,,61.385,-152.2683,182080,,12454,
AZ,Arizona,06/01/2017,Y,U,Y,,,N/A,,,,,,,,,,,1744617,,14.2417,-170.7197,1649411,,95206,
CA,California,06/01/2017,Y,U,Y,163743,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,163743,,162289,Does Not Include All Medicaid Determinations Made At Application,12486,Does Not Include All CHIP Determinations Made At Application,174775,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12293428,,33.7712,-111.3877,11004981,,1288447,
DC,District of Columbia,06/01/2017,Y,U,Y,2313,Includes SBM data,1895,,4208,Includes Renewals and/or Redeterminations,4436,Includes Renewals and/or Redeterminations; Includes CHIP,,,4436,,,269805,,41.5834,-72.7622,260103,,9702,
GA,Georgia,06/01/2017,N,U,Y,44689,,N/A,,44689,,30972,,875,,31847,,,1765789,,27.8333,-81.717,1584883,,180906,
HI,Hawaii,06/01/2017,Y,U,Y,4786,,N/A,,4786,,7923,,383,,8306,,,348125,,32.9866,-83.6487,324337,,23788,
ID,Idaho,06/01/2017,N,U,Y,7395,,,,7395,,5075,,288,,5363,,,294792,,42.0046,-93.214,272228,,22564,
IL,Illinois,06/01/2017,Y,U,Y,68813,,N/A,,68813,,43628,,13251,,56879,,,3075710,,44.2394,-114.5103,2824233,,251477,
IN,Indiana,06/01/2017,Y,U,Y,76018,,N/A,,76018,,34151,,2323,,36474,,,1495314,,40.3363,-89.0022,1391588,,103726,
