State,Year,High_Blood_Pressure_Rank,High_Blood_Pressure_Value
Alabama,2018,49.0,41.9
Alaska,2018,23.0,31.8
Arizona,2018,18.0,30.7
Arkansas,2018,48.0,41.3
California,2018,4.0,28.4
Colorado,2018,2.0,25.9
Connecticut,2018,14.0,30.5
Delaware,2018,40.0,34.9
Florida,2018,35.0,34.6
Georgia,2018,33.0,33.1
Hawaii,2018,16.0,30.6
Idaho,2018,10.0,29.8
Illinois,2018,25.0,32.2
Indiana,2018,41.0,35.2
Iowa,2018,22.0,31.5
Kansas,2018,31.0,32.8
Kentucky,2018,46.0,39.4
Louisiana,2018,45.0,39.0
Maine,2018,39.0,34.8
Maryland,2018,26.0,32.4
Massachusetts,2018,5.0,28.6
Michigan,2018,36.0,34.7
Minnesota,2018,3.0,26.6
Mississippi,2018,47.0,40.8
Missouri,2018,24.0,32.0
Montana,2018,6.0,29.0
Nebraska,2018,16.0,30.6
Nevada,2018,29.0,32.6
New Hampshire,2018,11.0,30.0
New Jersey,2018,32.0,33.0
New Mexico,2018,14.0,30.5
New York,2018,7.0,29.4
North Carolina,2018,36.0,34.7
North Dakota,2018,8.0,29.5
Ohio,2018,36.0,34.7
Oklahoma,2018,42.0,37.7
Oregon,2018,12.0,30.1
Pennsylvania,2018,29.0,32.6
Rhode Island,2018,33.0,33.1
South Carolina,2018,43.0,38.1
South Dakota,2018,19.0,30.8
Tennessee,2018,44.0,38.7
Texas,2018,28.0,32.5
Utah,2018,1.0,24.5
Vermont,2018,13.0,30.4
Virginia,2018,26.0,32.4
Washington,2018,8.0,29.5
West Virginia,2018,50.0,43.5
Wisconsin,2018,19.0,30.8
Wyoming,2018,19.0,30.8
United States,2018,0.0,32.2
District of Columbia,2018,0.0,26.7
