State,Year,Cholesterol_Check_Rank,Cholesterol_Check_Value
Alabama,2018,14.0,87.5
Alaska,2018,50.0,75.1
Arizona,2018,30.0,85.2
Arkansas,2018,41.0,82.8
California,2018,13.0,87.6
Colorado,2018,24.0,86.0
Connecticut,2018,1.0,91.4
Delaware,2018,5.0,90.2
Florida,2018,8.0,89.3
Georgia,2018,7.0,89.4
Hawaii,2018,39.0,83.5
Idaho,2018,49.0,78.4
Illinois,2018,18.0,86.8
Indiana,2018,40.0,83.4
Iowa,2018,37.0,84.4
Kansas,2018,32.0,84.8
Kentucky,2018,18.0,86.8
Louisiana,2018,25.0,85.9
Maine,2018,28.0,85.4
Maryland,2018,3.0,91.0
Massachusetts,2018,12.0,88.2
Michigan,2018,9.0,89.2
Minnesota,2018,17.0,86.9
Mississippi,2018,34.0,84.7
Missouri,2018,26.0,85.6
Montana,2018,46.0,80.6
Nebraska,2018,37.0,84.4
Nevada,2018,32.0,84.8
New Hampshire,2018,11.0,88.8
New Jersey,2018,2.0,91.1
New Mexico,2018,42.0,82.1
New York,2018,6.0,89.5
North Carolina,2018,20.0,86.7
North Dakota,2018,45.0,80.9
Ohio,2018,29.0,85.3
Oklahoma,2018,44.0,82.0
Oregon,2018,36.0,84.5
Pennsylvania,2018,22.0,86.1
Rhode Island,2018,4.0,90.5
South Carolina,2018,14.0,87.5
South Dakota,2018,42.0,82.1
Tennessee,2018,10.0,89.0
Texas,2018,35.0,84.6
Utah,2018,48.0,80.0
Vermont,2018,22.0,86.1
Virginia,2018,16.0,87.0
Washington,2018,26.0,85.6
West Virginia,2018,21.0,86.6
Wisconsin,2018,31.0,85.0
Wyoming,2018,47.0,80.4
United States,2018,0.0,85.9
District of Columbia,2018,0.0,90.5
