State,Year,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value
Alabama,2018,49.0,342.6
Alaska,2018,11.0,226.1
Arizona,2018,5.0,217.4
Arkansas,2018,47.0,330.2
California,2018,14.0,231.1
Colorado,2018,2.0,207.4
Connecticut,2018,7.0,217.9
Delaware,2018,28.0,253.9
Florida,2018,17.0,233.1
Georgia,2018,38.0,282.9
Hawaii,2018,3.0,208.1
Idaho,2018,25.0,241.3
Illinois,2018,33.0,260.1
Indiana,2018,37.0,278.5
Iowa,2018,27.0,245.8
Kansas,2018,31.0,258.2
Kentucky,2018,44.0,299.7
Louisiana,2018,46.0,320.0
Maine,2018,13.0,230.1
Maryland,2018,30.0,257.7
Massachusetts,2018,4.0,208.7
Michigan,2018,42.0,297.8
Minnesota,2018,1.0,190.3
Mississippi,2018,50.0,356.0
Missouri,2018,40.0,291.7
Montana,2018,18.0,233.3
Nebraska,2018,16.0,232.4
Nevada,2018,41.0,294.2
New Hampshire,2018,9.0,221.4
New Jersey,2018,26.0,245.4
New Mexico,2018,10.0,225.0
New York,2018,32.0,258.5
North Carolina,2018,29.0,254.6
North Dakota,2018,12.0,228.0
Ohio,2018,39.0,286.5
Oklahoma,2018,48.0,338.9
Oregon,2018,8.0,220.6
Pennsylvania,2018,35.0,265.7
Rhode Island,2018,15.0,231.2
South Carolina,2018,36.0,277.7
South Dakota,2018,22.0,238.3
Tennessee,2018,45.0,310.4
Texas,2018,34.0,264.2
Utah,2018,19.0,236.1
Vermont,2018,20.0,237.5
Virginia,2018,24.0,239.6
Washington,2018,6.0,217.6
West Virginia,2018,43.0,299.6
Wisconsin,2018,23.0,238.7
Wyoming,2018,20.0,237.5
United States,2018,0.0,256.8
District of Columbia,2018,0.0,304.8
