State,Year,Premature_Death_Rank,Premature_Death_Value
Alabama,2018,48.0,10720.0
Alaska,2018,37.0,8666.0
Arizona,2018,26.0,7502.0
Arkansas,2018,45.0,10099.0
California,2018,2.0,5734.0
Colorado,2018,9.0,6352.0
Connecticut,2018,3.0,5923.0
Delaware,2018,32.0,7992.0
Florida,2018,29.0,7790.0
Georgia,2018,36.0,8391.0
Hawaii,2018,7.0,6104.0
Idaho,2018,15.0,6723.0
Illinois,2018,21.0,7127.0
Indiana,2018,39.0,8774.0
Iowa,2018,16.0,6812.0
Kansas,2018,23.0,7350.0
Kentucky,2018,47.0,10479.0
Louisiana,2018,46.0,10125.0
Maine,2018,24.0,7464.0
Maryland,2018,28.0,7655.0
Massachusetts,2018,6.0,6097.0
Michigan,2018,34.0,8102.0
Minnesota,2018,1.0,5653.0
Mississippi,2018,49.0,11082.0
Missouri,2018,38.0,8717.0
Montana,2018,31.0,7900.0
Nebraska,2018,10.0,6401.0
Nevada,2018,30.0,7899.0
New Hampshire,2018,20.0,7067.0
New Jersey,2018,8.0,6225.0
New Mexico,2018,42.0,9301.0
New York,2018,5.0,5978.0
North Carolina,2018,35.0,8177.0
North Dakota,2018,19.0,7047.0
Ohio,2018,40.0,8998.0
Oklahoma,2018,44.0,9992.0
Oregon,2018,11.0,6511.0
Pennsylvania,2018,33.0,8013.0
Rhode Island,2018,12.0,6561.0
South Carolina,2018,41.0,9232.0
South Dakota,2018,25.0,7499.0
Tennessee,2018,43.0,9756.0
Texas,2018,22.0,7199.0
Utah,2018,14.0,6565.0
Vermont,2018,13.0,6563.0
Virginia,2018,18.0,6877.0
Washington,2018,4.0,5942.0
West Virginia,2018,50.0,11136.0
Wisconsin,2018,17.0,6821.0
Wyoming,2018,27.0,7636.0
United States,2018,0.0,7432.0
District of Columbia,2018,0.0,9092.0
