State,Year,Drug_Deaths_Rank,Drug_Deaths_Value
Alabama,2018,20.0,15.4
Alaska,2018,25.0,16.5
Arizona,2018,31.0,19.5
Arkansas,2018,14.0,13.2
California,2018,8.0,11.9
Colorado,2018,22.0,16.2
Connecticut,2018,39.0,22.1
Delaware,2018,42.0,24.0
Florida,2018,29.0,17.7
Georgia,2018,13.0,12.7
Hawaii,2018,10.0,12.3
Idaho,2018,16.0,14.2
Illinois,2018,19.0,15.3
Indiana,2018,33.0,20.2
Iowa,2018,4.0,9.8
Kansas,2018,7.0,11.6
Kentucky,2018,47.0,28.6
Louisiana,2018,30.0,18.9
Maine,2018,37.0,21.6
Maryland,2018,41.0,23.9
Massachusetts,2018,43.0,25.2
Michigan,2018,35.0,20.8
Minnesota,2018,6.0,10.8
Mississippi,2018,8.0,11.9
Missouri,2018,31.0,19.5
Montana,2018,11.0,12.6
Nebraska,2018,1.0,6.8
Nevada,2018,36.0,21.0
New Hampshire,2018,49.0,31.9
New Jersey,2018,27.0,17.6
New Mexico,2018,44.0,25.6
New York,2018,17.0,14.3
North Carolina,2018,22.0,16.2
North Dakota,2018,3.0,8.3
Ohio,2018,48.0,30.4
Oklahoma,2018,34.0,20.4
Oregon,2018,11.0,12.6
Pennsylvania,2018,46.0,28.1
Rhode Island,2018,45.0,27.5
South Carolina,2018,21.0,16.1
South Dakota,2018,2.0,8.0
Tennessee,2018,38.0,22.0
Texas,2018,5.0,10.0
Utah,2018,40.0,22.9
Vermont,2018,26.0,17.0
Virginia,2018,15.0,13.4
Washington,2018,18.0,14.6
West Virginia,2018,50.0,41.4
Wisconsin,2018,24.0,16.4
Wyoming,2018,27.0,17.6
United States,2018,0.0,16.9
District of Columbia,2018,0.0,27.2
