State,Year,Infant_Mortality_Rank,Infant_Mortality_Value
Alabama,2018,49.0,8.7
Alaska,2018,27.0,6.1
Arizona,2018,15.0,5.4
Arkansas,2018,46.0,7.8
California,2018,4.0,4.3
Colorado,2018,8.0,4.7
Connecticut,2018,13.0,5.2
Delaware,2018,48.0,8.4
Florida,2018,30.0,6.2
Georgia,2018,45.0,7.6
Hawaii,2018,24.0,6.0
Idaho,2018,15.0,5.4
Illinois,2018,30.0,6.2
Indiana,2018,43.0,7.4
Iowa,2018,11.0,5.1
Kansas,2018,21.0,5.9
Kentucky,2018,36.0,6.7
Louisiana,2018,46.0,7.8
Maine,2018,30.0,6.2
Maryland,2018,35.0,6.6
Massachusetts,2018,3.0,4.1
Michigan,2018,33.0,6.5
Minnesota,2018,11.0,5.1
Mississippi,2018,50.0,8.9
Missouri,2018,33.0,6.5
Montana,2018,21.0,5.9
Nebraska,2018,24.0,6.0
Nevada,2018,17.0,5.5
New Hampshire,2018,1.0,3.9
New Jersey,2018,5.0,4.4
New Mexico,2018,18.0,5.6
New York,2018,6.0,4.5
North Carolina,2018,41.0,7.3
North Dakota,2018,37.0,6.8
Ohio,2018,41.0,7.3
Oklahoma,2018,43.0,7.4
Oregon,2018,9.0,4.9
Pennsylvania,2018,27.0,6.1
Rhode Island,2018,19.0,5.7
South Carolina,2018,38.0,7.0
South Dakota,2018,27.0,6.1
Tennessee,2018,39.0,7.2
Texas,2018,19.0,5.7
Utah,2018,13.0,5.2
Vermont,2018,1.0,3.9
Virginia,2018,21.0,5.9
Washington,2018,7.0,4.6
West Virginia,2018,39.0,7.2
Wisconsin,2018,24.0,6.0
Wyoming,2018,10.0,5.0
United States,2018,0.0,5.9
District of Columbia,2018,0.0,7.8
