State,Year,Underemployment_Rate_Rank,Underemployment_Rate_Value
Alaska,2018,50.0,13.2
Alabama,2018,26.0,8.2
United States,2018,0.0,8.5
Arkansas,2018,14.0,7.1
Arizona,2018,41.0,9.5
California,2018,45.0,9.8
Colorado,2018,6.0,6.3
Connecticut,2018,46.0,10.1
District of Columbia,2018,0.0,9.8
Delaware,2018,43.0,9.7
Florida,2018,34.0,9.1
Georgia,2018,32.0,8.8
Hawaii,2018,2.0,6.0
Iowa,2018,4.0,6.2
Idaho,2018,14.0,7.1
Illinois,2018,36.0,9.2
Indiana,2018,13.0,7.0
Kansas,2018,11.0,6.9
Kentucky,2018,32.0,8.8
Louisiana,2018,43.0,9.7
Massachusetts,2018,17.0,7.4
Maryland,2018,23.0,8.0
Maine,2018,19.0,7.7
Michigan,2018,34.0,9.1
Minnesota,2018,8.0,6.5
Missouri,2018,14.0,7.1
Mississippi,2018,41.0,9.5
Montana,2018,29.0,8.3
North Carolina,2018,26.0,8.2
North Dakota,2018,1.0,5.3
Nebraska,2018,3.0,6.1
New Hampshire,2018,4.0,6.2
New Jersey,2018,36.0,9.2
New Mexico,2018,49.0,11.3
Nevada,2018,48.0,10.8
New York,2018,31.0,8.6
Ohio,2018,36.0,9.2
Oklahoma,2018,17.0,7.4
Oregon,2018,29.0,8.3
Pennsylvania,2018,40.0,9.4
Rhode Island,2018,23.0,8.0
South Carolina,2018,20.0,7.8
South Dakota,2018,8.0,6.5
Tennessee,2018,21.0,7.9
Texas,2018,26.0,8.2
Utah,2018,11.0,6.9
Virginia,2018,21.0,7.9
Vermont,2018,7.0,6.4
Washington,2018,36.0,9.2
Wisconsin,2018,8.0,6.5
West Virginia,2018,47.0,10.2
Wyoming,2018,25.0,8.1
