State,Medicaid_Expanded,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
Pennsylvania,Y,2911398,35.5376,-96.9247,2725845,185553,Nov,2019
Texas,N,4170853,33.8191,-80.9066,3560099,610754,Nov,2019
North Dakota,Y,89466,46.9048,-110.3261,87371,2095,Nov,2019
Arizona,Y,1716801,14.2417,-170.7197,1618769,98032,Nov,2019
Kentucky,Y,1187486,38.5111,-96.8005,1097048,90438,Nov,2019
Massachusetts,Y,1556909,31.1801,-91.8749,1368519,188390,Nov,2019
Louisiana,Y,1503023,37.669000000000004,-84.6514,1384526,118497,Nov,2019
Oklahoma,N,716103,42.1497,-74.9384,596575,119528,Nov,2019
South Carolina,N,1029967,40.5773,-77.264,937299,92668,Nov,2019
California,Y,11548401,33.7712,-111.3877,10243773,1304628,Nov,2019
Illinois,Y,2807453,44.2394,-114.5103,2529008,278445,Nov,2019
Alabama,N,922597,32.799,-86.8073,752348,170249,Nov,2019
Ohio,Y,2617316,38.4199,-117.1219,2419689,197627,Nov,2019
Oregon,Y,984653,40.3736,-82.7755,856999,127654,Nov,2019
New Mexico,Y,735867,43.4108,-71.5653,697508,38359,Nov,2019
Montana,Y,261547,14.8058,145.5505,233673,27874,Nov,2019
Iowa,Y,690673,21.1098,-157.5311,613697,76976,Nov,2019
Utah,N,304947,44.2853,-99.4632,263504,41443,Nov,2019
South Dakota,N,109187,18.2766,-66.335,93570,15617,Nov,2019
Washington,Y,1709289,40.1135,-111.8535,1638184,71105,Nov,2019
Arkansas,Y,852157,34.9513,-92.3809,760825,91332,Nov,2019
New Hampshire,Y,176734,47.5362,-99.79299999999999,161605,15129,Nov,2019
Vermont,Y,149642,31.105999999999998,-97.6475,145131,4511,Nov,2019
Maine,Y,255593,39.0724,-76.7902,243514,12079,Nov,2019
Georgia,N,1801767,27.8333,-81.717,1596947,204820,Nov,2019
Mississippi,N,607772,38.4623,-92.302,531528,76244,Nov,2019
Wyoming,N,53843,44.0407,-72.7093,49656,4187,Nov,2019
Virginia,Y,1372173,35.7449,-86.7489,1222280,149893,Nov,2019
Wisconsin,N,1035364,37.768,-78.2057,966981,68383,Nov,2019
New Jersey,Y,1679110,41.1289,-98.2883,1452517,226593,Nov,2019
Alaska,Y,221152,61.385,-152.2683,204574,16578,Nov,2019
Tennessee,N,1433004,41.6772,-71.5101,1379398,53606,Nov,2019
Idaho,N,265065,42.0046,-93.214,239148,25917,Nov,2019
Michigan,Y,2284611,44.6074,-69.3977,2219198,65413,Nov,2019
Minnesota,Y,1020355,43.3504,-84.5603,1019160,1195,Nov,2019
West Virginia,Y,510779,18.0001,-64.8199,476539,34240,Nov,2019
Hawaii,Y,326580,32.9866,-83.6487,301078,25502,Nov,2019
Nevada,Y,626688,40.314,-74.5089,586167,40521,Nov,2019
New York,Y,6480784,34.8375,-106.2371,5792620,688164,Nov,2019
Nebraska,N,243090,35.6411,-79.8431,208679,34411,Nov,2019
Florida,N,3621088,39.3498,-75.5148,3380922,240166,Nov,2019
Maryland,Y,1317729,42.2373,-71.5314,1175966,141763,Nov,2019
District of Columbia,Y,249832,41.5834,-72.7622,233983,15849,Nov,2019
Delaware,Y,246494,38.8964,-77.0262,235103,11391,Nov,2019
Missouri,N,833914,45.7326,-93.9196,797931,35983,Nov,2019
Rhode Island,Y,290961,44.5672,-122.1269,258198,32763,Nov,2019
Connecticut,Y,847287,39.0646,-105.3272,827095,20192,Nov,2019
Kansas,N,374705,39.8647,-86.2604,317167,57538,Nov,2019
Colorado,Y,1266840,36.17,-119.7462,1188502,78338,Nov,2019
North Carolina,N,1730817,32.7673,-89.6812,1457217,273600,Nov,2019
Indiana,Y,1461776,40.3363,-89.0022,1350626,111150,Nov,2019
