State,Medicaid_Expanded,Total_Enrollment,Month,Year
Arizona,Y,1496616,Dec,2014
Arkansas,Y,824682,Dec,2014
California,Y,11919314,Dec,2014
Colorado,Y,1183251,Dec,2014
Connecticut,Y,760584,Dec,2014
Delaware,Y,235047,Dec,2014
District of Columbia,Y,256282,Dec,2014
Hawaii,Y,308567,Dec,2014
Illinois,Y,3126814,Dec,2014
Indiana,Y,1216683,Dec,2014
Iowa,Y,572104,Dec,2014
Kentucky,Y,1073384,Dec,2014
Maryland,Y,1143810,Dec,2014
Massachusetts,Y,1586233,Dec,2014
Michigan,Y,2253958,Dec,2014
Minnesota,Y,1213607,Dec,2014
Nevada,Y,548377,Dec,2014
New Hampshire,Y,167330,Dec,2014
New Jersey,Y,1672822,Dec,2014
New Mexico,Y,687942,Dec,2014
New York,Y,6300006,Dec,2014
North Dakota,Y,86120,Dec,2014
Ohio,Y,2900815,Dec,2014
Oregon,Y,1036190,Dec,2014
Pennsylvania,Y,2403656,Dec,2014
Rhode Island,Y,263426,Dec,2014
Vermont,Y,177819,Dec,2014
Washington,Y,1644648,Dec,2014
West Virginia,Y,522491,Dec,2014
Alabama,N,876485,Dec,2014
Alaska,N,127888,Dec,2014
Florida,N,3373853,Dec,2014
Georgia,N,1749519,Dec,2014
Idaho,N,287585,Dec,2014
Kansas,N,400885,Dec,2014
Louisiana,N,1044151,Dec,2014
Maine,N,287807,Dec,2014
Mississippi,N,714084,Dec,2014
Missouri,N,855487,Dec,2014
Montana,N,167328,Dec,2014
Nebraska,N,240058,Dec,2014
North Carolina,N,1821459,Dec,2014
Oklahoma,N,799478,Dec,2014
South Carolina,N,995296,Dec,2014
South Dakota,N,116878,Dec,2014
Tennessee,N,1425497,Dec,2014
Texas,N,4704853,Dec,2014
Utah,N,298773,Dec,2014
Virginia,N,958583,Dec,2014
Wisconsin,N,1034899,Dec,2014
Wyoming,N,71535,Dec,2014
