State,Medicaid_Expanded,Total_Enrollment,Latitude,Longitude,Tot_Medicaid_Enroll,Tot_CHIP_Enroll,Month,Year
Vermont,Y,160114,31.105999999999998,-97.6475,155538,4576,Dec,2018
New Hampshire,Y,184476,47.5362,-99.79299999999999,169089,15387,Dec,2018
Texas,N,4308644,33.8191,-80.9066,3701865,606779,Dec,2018
Nebraska,N,247510,35.6411,-79.8431,212374,35136,Dec,2018
Idaho,N,280570,42.0046,-93.214,256565,24005,Dec,2018
Massachusetts,Y,1598878,31.1801,-91.8749,1407486,191392,Dec,2018
Maryland,Y,1316115,42.2373,-71.5314,1158429,157686,Dec,2018
Virginia,Y,1053309,35.7449,-86.7489,909439,143870,Dec,2018
New Mexico,Y,728327,43.4108,-71.5653,691223,37104,Dec,2018
Mississippi,N,620567,38.4623,-92.302,544645,75922,Dec,2018
Kentucky,Y,1222239,38.5111,-96.8005,1132632,89607,Dec,2018
Colorado,Y,1305951,36.17,-119.7462,1225946,80005,Dec,2018
Arizona,Y,1700470,14.2417,-170.7197,1597487,102983,Dec,2018
Kansas,N,389535,39.8647,-86.2604,333884,55651,Dec,2018
Alaska,Y,211912,61.385,-152.2683,197143,14769,Dec,2018
Utah,N,288403,44.2853,-99.4632,244688,43715,Dec,2018
Louisiana,Y,1577428,37.669000000000004,-84.6514,1444452,132976,Dec,2018
South Dakota,N,110749,18.2766,-66.335,94829,15920,Dec,2018
Montana,Y,279675,14.8058,145.5505,250766,28909,Dec,2018
Maine,Y,256900,39.0724,-76.7902,246670,10230,Dec,2018
Nevada,Y,636208,40.314,-74.5089,594525,41683,Dec,2018
California,Y,11927676,33.7712,-111.3877,10625303,1302373,Dec,2018
Hawaii,Y,331075,32.9866,-83.6487,305872,25203,Dec,2018
Oregon,Y,979447,40.3736,-82.7755,852749,126698,Dec,2018
Florida,N,3703423,39.3498,-75.5148,3476981,226442,Dec,2018
Pennsylvania,Y,2949567,35.5376,-96.9247,2770326,179241,Dec,2018
Georgia,N,1821852,27.8333,-81.717,1608972,212880,Dec,2018
Oklahoma,N,728153,42.1497,-74.9384,609376,118777,Dec,2018
Minnesota,Y,1069346,43.3504,-84.5603,1068121,1225,Dec,2018
New Jersey,Y,1738183,41.1289,-98.2883,1525062,213121,Dec,2018
Alabama,N,911983,32.799,-86.8073,739314,172669,Dec,2018
Illinois,Y,2860188,44.2394,-114.5103,2609025,251163,Dec,2018
Wisconsin,N,1020034,37.768,-78.2057,949167,70867,Dec,2018
Michigan,Y,2333409,44.6074,-69.3977,2272586,60823,Dec,2018
Wyoming,N,58118,44.0407,-72.7093,53500,4618,Dec,2018
North Carolina,N,1763338,32.7673,-89.6812,1505323,258015,Dec,2018
Missouri,N,888597,45.7326,-93.9196,857634,30963,Dec,2018
North Dakota,Y,91072,46.9048,-110.3261,88893,2179,Dec,2018
South Carolina,N,1044270,40.5773,-77.264,954472,89798,Dec,2018
West Virginia,Y,520656,18.0001,-64.8199,487267,33389,Dec,2018
District of Columbia,Y,259243,41.5834,-72.7622,242753,16490,Dec,2018
Arkansas,Y,850695,34.9513,-92.3809,764096,86599,Dec,2018
Connecticut,Y,855943,39.0646,-105.3272,836069,19874,Dec,2018
Delaware,Y,248964,38.8964,-77.0262,237514,11450,Dec,2018
Ohio,Y,2651092,38.4199,-117.1219,2440646,210446,Dec,2018
Iowa,Y,691918,21.1098,-157.5311,620426,71492,Dec,2018
Indiana,Y,1450933,40.3363,-89.0022,1337709,113224,Dec,2018
Tennessee,N,1396302,41.6772,-71.5101,1342027,54275,Dec,2018
Washington,Y,1739111,40.1135,-111.8535,1668643,70468,Dec,2018
Rhode Island,Y,311254,44.5672,-122.1269,278432,32822,Dec,2018
New York,Y,6523404,34.8375,-106.2371,5881178,642226,Dec,2018
