State,Year,Obesity_Rank,Obesity_Value
Alabama,2017,47.0,35.7
Alaska,2017,30.0,31.4
Arizona,2017,21.0,29.0
Arkansas,2017,47.0,35.7
California,2017,4.0,25.0
Colorado,2017,1.0,22.3
Connecticut,2017,9.0,26.0
Delaware,2017,27.0,30.7
Florida,2017,14.0,27.4
Georgia,2017,30.0,31.4
Hawaii,2017,3.0,23.8
Idaho,2017,14.0,27.4
Illinois,2017,33.0,31.6
Indiana,2017,40.0,32.5
Iowa,2017,37.0,32.0
Kansas,2017,29.0,31.2
Kentucky,2017,44.0,34.2
Louisiana,2017,46.0,35.5
Maine,2017,24.0,29.9
Maryland,2017,24.0,29.9
Massachusetts,2017,2.0,23.6
Michigan,2017,40.0,32.5
Minnesota,2017,17.0,27.8
Mississippi,2017,49.0,37.3
Missouri,2017,34.0,31.7
Montana,2017,6.0,25.5
Nebraska,2017,37.0,32.0
Nevada,2017,8.0,25.8
New Hampshire,2017,10.0,26.6
New Jersey,2017,13.0,27.3
New Mexico,2017,18.0,28.3
New York,2017,6.0,25.5
North Carolina,2017,35.0,31.8
North Dakota,2017,36.0,31.9
Ohio,2017,32.0,31.5
Oklahoma,2017,42.0,32.8
Oregon,2017,20.0,28.7
Pennsylvania,2017,26.0,30.3
Rhode Island,2017,10.0,26.6
South Carolina,2017,39.0,32.3
South Dakota,2017,23.0,29.6
Tennessee,2017,45.0,34.8
Texas,2017,43.0,33.6
Utah,2017,5.0,25.3
Vermont,2017,12.0,27.1
Virginia,2017,21.0,29.0
Washington,2017,19.0,28.6
West Virginia,2017,50.0,37.7
Wisconsin,2017,27.0,30.7
Wyoming,2017,16.0,27.7
United States,2017,0.0,29.9
District of Columbia,2017,0.0,22.6
