State,Year,Premature_Death_Rank,Premature_Death_Value
Alabama,2017,48.0,10321.0
Alaska,2017,37.0,8342.0
Arizona,2017,25.0,7246.0
Arkansas,2017,45.0,9972.0
California,2017,2.0,5647.0
Colorado,2017,9.0,6113.0
Connecticut,2017,4.0,5771.0
Delaware,2017,32.0,7871.0
Florida,2017,27.0,7412.0
Georgia,2017,35.0,8185.0
Hawaii,2017,7.0,6031.0
Idaho,2017,18.0,6599.0
Illinois,2017,20.0,6825.0
Indiana,2017,38.0,8471.0
Iowa,2017,11.0,6333.0
Kansas,2017,26.0,7380.0
Kentucky,2017,47.0,10042.0
Louisiana,2017,46.0,10003.0
Maine,2017,22.0,7144.0
Maryland,2017,21.0,7113.0
Massachusetts,2017,6.0,5970.0
Michigan,2017,31.0,7853.0
Minnesota,2017,1.0,5555.0
Mississippi,2017,50.0,10950.0
Missouri,2017,40.0,8558.0
Montana,2017,36.0,8229.0
Nebraska,2017,17.0,6592.0
Nevada,2017,30.0,7729.0
New Hampshire,2017,16.0,6572.0
New Jersey,2017,5.0,5875.0
New Mexico,2017,41.0,8913.0
New York,2017,3.0,5701.0
North Carolina,2017,33.0,7889.0
North Dakota,2017,24.0,7225.0
Ohio,2017,39.0,8492.0
Oklahoma,2017,44.0,9951.0
Oregon,2017,14.0,6507.0
Pennsylvania,2017,28.0,7541.0
Rhode Island,2017,15.0,6516.0
South Carolina,2017,42.0,9131.0
South Dakota,2017,29.0,7627.0
Tennessee,2017,43.0,9467.0
Texas,2017,23.0,7175.0
Utah,2017,12.0,6399.0
Vermont,2017,10.0,6326.0
Virginia,2017,19.0,6696.0
Washington,2017,8.0,6096.0
West Virginia,2017,49.0,10478.0
Wisconsin,2017,13.0,6437.0
Wyoming,2017,34.0,8130.0
United States,2017,0.0,7214.0
District of Columbia,2017,0.0,8739.0
