State,Year,Unemployment_Rate_Rank,Unemployment_Rate_Value
Alaska,2017,49.0,6.6
Alabama,2017,46.0,6.0
United States,2017,0.0,4.9
Arkansas,2017,10.0,3.9
Arizona,2017,35.0,5.2
California,2017,37.0,5.4
Colorado,2017,4.0,3.3
Connecticut,2017,35.0,5.2
District of Columbia,2017,0.0,6.1
Delaware,2017,20.0,4.3
Florida,2017,26.0,4.9
Georgia,2017,37.0,5.4
Hawaii,2017,3.0,3.0
Iowa,2017,10.0,3.9
Idaho,2017,10.0,3.9
Illinois,2017,44.0,5.9
Indiana,2017,22.0,4.5
Kansas,2017,17.0,4.2
Kentucky,2017,26.0,4.9
Louisiana,2017,48.0,6.2
Massachusetts,2017,9.0,3.7
Maryland,2017,17.0,4.2
Maine,2017,10.0,3.9
Michigan,2017,26.0,4.9
Minnesota,2017,10.0,3.9
Missouri,2017,21.0,4.4
Mississippi,2017,43.0,5.7
Montana,2017,17.0,4.2
North Carolina,2017,33.0,5.0
North Dakota,2017,4.0,3.3
Nebraska,2017,7.0,3.4
New Hampshire,2017,1.0,2.8
New Jersey,2017,26.0,4.9
New Mexico,2017,50.0,6.8
Nevada,2017,44.0,5.9
New York,2017,25.0,4.8
Ohio,2017,26.0,4.9
Oklahoma,2017,34.0,5.1
Oregon,2017,26.0,4.9
Pennsylvania,2017,42.0,5.6
Rhode Island,2017,37.0,5.4
South Carolina,2017,26.0,4.9
South Dakota,2017,1.0,2.8
Tennessee,2017,24.0,4.7
Texas,2017,23.0,4.6
Utah,2017,8.0,3.6
Virginia,2017,15.0,4.1
Vermont,2017,4.0,3.3
Washington,2017,41.0,5.5
Wisconsin,2017,15.0,4.1
West Virginia,2017,47.0,6.1
Wyoming,2017,37.0,5.4
