State,Year,High_Blood_Pressure_Rank,High_Blood_Pressure_Value
Alabama,2017,48.0,40.4
Alaska,2017,4.0,27.5
Arizona,2017,23.0,30.8
Arkansas,2017,46.0,39.3
California,2017,6.0,28.5
Colorado,2017,2.0,25.7
Connecticut,2017,20.0,30.4
Delaware,2017,39.0,34.5
Florida,2017,35.0,33.5
Georgia,2017,41.0,36.2
Hawaii,2017,28.0,32.0
Idaho,2017,26.0,31.2
Illinois,2017,23.0,30.8
Indiana,2017,29.0,32.4
Iowa,2017,22.0,30.6
Kansas,2017,27.0,31.6
Kentucky,2017,45.0,39.0
Louisiana,2017,46.0,39.3
Maine,2017,36.0,34.1
Maryland,2017,31.0,32.5
Massachusetts,2017,12.0,29.6
Michigan,2017,33.0,33.1
Minnesota,2017,3.0,26.3
Mississippi,2017,49.0,42.4
Missouri,2017,36.0,34.1
Montana,2017,7.0,29.1
Nebraska,2017,15.0,29.9
Nevada,2017,5.0,28.3
New Hampshire,2017,8.0,29.2
New Jersey,2017,25.0,30.9
New Mexico,2017,18.0,30.0
New York,2017,9.0,29.3
North Carolina,2017,40.0,35.2
North Dakota,2017,20.0,30.4
Ohio,2017,38.0,34.3
Oklahoma,2017,41.0,36.2
Oregon,2017,19.0,30.1
Pennsylvania,2017,31.0,32.5
Rhode Island,2017,29.0,32.4
South Carolina,2017,43.0,37.8
South Dakota,2017,15.0,29.9
Tennessee,2017,44.0,38.5
Texas,2017,11.0,29.5
Utah,2017,1.0,23.6
Vermont,2017,10.0,29.4
Virginia,2017,34.0,33.2
Washington,2017,14.0,29.7
West Virginia,2017,50.0,42.7
Wisconsin,2017,12.0,29.6
Wyoming,2017,15.0,29.9
United States,2017,0.0,30.9
District of Columbia,2017,0.0,29.4
