State,Year,High_Cholesterol_Rank,High_Cholesterol_Value
Alabama,2017,50.0,42.0
Alaska,2017,6.0,33.9
Arizona,2017,33.0,37.3
Arkansas,2017,49.0,41.3
California,2017,8.0,34.2
Colorado,2017,1.0,31.5
Connecticut,2017,34.0,37.4
Delaware,2017,44.0,39.1
Florida,2017,37.0,38.0
Georgia,2017,25.0,36.3
Hawaii,2017,25.0,36.3
Idaho,2017,36.0,37.6
Illinois,2017,19.0,36.0
Indiana,2017,44.0,39.1
Iowa,2017,20.0,36.1
Kansas,2017,34.0,37.4
Kentucky,2017,48.0,40.7
Louisiana,2017,46.0,39.2
Maine,2017,40.0,38.5
Maryland,2017,18.0,35.9
Massachusetts,2017,10.0,34.5
Michigan,2017,39.0,38.2
Minnesota,2017,3.0,32.3
Mississippi,2017,41.0,38.7
Missouri,2017,32.0,37.1
Montana,2017,4.0,33.1
Nebraska,2017,13.0,35.1
Nevada,2017,28.0,36.7
New Hampshire,2017,17.0,35.7
New Jersey,2017,15.0,35.4
New Mexico,2017,9.0,34.3
New York,2017,27.0,36.6
North Carolina,2017,31.0,37.0
North Dakota,2017,11.0,35.0
Ohio,2017,28.0,36.7
Oklahoma,2017,37.0,38.0
Oregon,2017,30.0,36.8
Pennsylvania,2017,23.0,36.2
Rhode Island,2017,14.0,35.2
South Carolina,2017,42.0,38.9
South Dakota,2017,5.0,33.3
Tennessee,2017,47.0,40.0
Texas,2017,20.0,36.1
Utah,2017,2.0,32.2
Vermont,2017,7.0,34.0
Virginia,2017,16.0,35.6
Washington,2017,23.0,36.2
West Virginia,2017,43.0,39.0
Wisconsin,2017,20.0,36.1
Wyoming,2017,11.0,35.0
United States,2017,0.0,36.3
District of Columbia,2017,0.0,31.3
