State,Year,Concentrated_Disadvantage_Rank,Concentrated_Disadvantage_Value
Alaska,2018,19.0,14.2
Alabama,2018,42.0,28.4
United States,2018,0.0,23.8
Arkansas,2018,34.0,24.1
Arizona,2018,47.0,33.8
California,2018,45.0,31.8
Colorado,2018,16.0,13.7
Connecticut,2018,30.0,20.4
District of Columbia,2018,0.0,42.2
Delaware,2018,28.0,19.7
Florida,2018,39.0,27.2
Georgia,2018,48.0,33.9
Hawaii,2018,14.0,13.0
Iowa,2018,9.0,9.3
Idaho,2018,11.0,10.8
Illinois,2018,32.0,23.0
Indiana,2018,25.0,19.3
Kansas,2018,18.0,13.8
Kentucky,2018,41.0,27.8
Louisiana,2018,44.0,31.0
Massachusetts,2018,23.0,17.4
Maryland,2018,20.0,16.5
Maine,2018,5.0,6.8
Michigan,2018,31.0,22.9
Minnesota,2018,7.0,8.1
Missouri,2018,24.0,17.6
Mississippi,2018,50.0,43.0
Montana,2018,6.0,7.8
North Carolina,2018,37.0,26.5
North Dakota,2018,3.0,3.8
Nebraska,2018,12.0,11.5
New Hampshire,2018,2.0,3.5
New Jersey,2018,26.0,19.4
New Mexico,2018,49.0,41.4
Nevada,2018,40.0,27.7
New York,2018,37.0,26.5
Ohio,2018,33.0,23.1
Oklahoma,2018,27.0,19.6
Oregon,2018,29.0,20.1
Pennsylvania,2018,21.0,17.1
Rhode Island,2018,36.0,26.3
South Carolina,2018,43.0,29.8
South Dakota,2018,9.0,9.3
Tennessee,2018,35.0,24.9
Texas,2018,45.0,31.8
Utah,2018,8.0,9.1
Virginia,2018,13.0,11.7
Vermont,2018,1.0,2.9
Washington,2018,16.0,13.7
Wisconsin,2018,15.0,13.6
West Virginia,2018,21.0,17.1
Wyoming,2018,4.0,5.6
Alaska,2018,19.0,14.2
Alabama,2018,42.0,28.4
United States,2018,0.0,23.8
Arkansas,2018,34.0,24.1
Arizona,2018,47.0,33.8
California,2018,45.0,31.8
Colorado,2018,16.0,13.7
Connecticut,2018,30.0,20.4
District of Columbia,2018,0.0,42.2
Delaware,2018,28.0,19.7
Florida,2018,39.0,27.2
Georgia,2018,48.0,33.9
Hawaii,2018,14.0,13.0
Iowa,2018,9.0,9.3
Idaho,2018,11.0,10.8
Illinois,2018,32.0,23.0
Indiana,2018,25.0,19.3
Kansas,2018,18.0,13.8
Kentucky,2018,41.0,27.8
Louisiana,2018,44.0,31.0
Massachusetts,2018,23.0,17.4
Maryland,2018,20.0,16.5
Maine,2018,5.0,6.8
Michigan,2018,31.0,22.9
Minnesota,2018,7.0,8.1
Missouri,2018,24.0,17.6
Mississippi,2018,50.0,43.0
Montana,2018,6.0,7.8
North Carolina,2018,37.0,26.5
North Dakota,2018,3.0,3.8
Nebraska,2018,12.0,11.5
New Hampshire,2018,2.0,3.5
New Jersey,2018,26.0,19.4
New Mexico,2018,49.0,41.4
Nevada,2018,40.0,27.7
New York,2018,37.0,26.5
Ohio,2018,33.0,23.1
Oklahoma,2018,27.0,19.6
Oregon,2018,29.0,20.1
Pennsylvania,2018,21.0,17.1
Rhode Island,2018,36.0,26.3
South Carolina,2018,43.0,29.8
South Dakota,2018,9.0,9.3
Tennessee,2018,35.0,24.9
Texas,2018,45.0,31.8
Utah,2018,8.0,9.1
Virginia,2018,13.0,11.7
Vermont,2018,1.0,2.9
Washington,2018,16.0,13.7
Wisconsin,2018,15.0,13.6
West Virginia,2018,21.0,17.1
Wyoming,2018,4.0,5.6
