State,Year,Injury_Deaths_Rank,Injury_Deaths_Value
Alabama,2018,34.0,80.2
Alaska,2018,48.0,97.8
Arizona,2018,36.0,80.4
Arkansas,2018,38.0,81.1
California,2018,2.0,49.7
Colorado,2018,33.0,79.3
Connecticut,2018,10.0,61.7
Delaware,2018,17.0,70.0
Florida,2018,20.0,71.1
Georgia,2018,14.0,66.9
Hawaii,2018,4.0,52.8
Idaho,2018,28.0,75.6
Illinois,2018,6.0,58.3
Indiana,2018,24.0,73.4
Iowa,2018,12.0,64.3
Kansas,2018,23.0,71.7
Kentucky,2018,45.0,91.7
Louisiana,2018,41.0,84.9
Maine,2018,29.0,75.7
Maryland,2018,15.0,68.6
Massachusetts,2018,5.0,57.7
Michigan,2018,18.0,70.8
Minnesota,2018,11.0,62.3
Mississippi,2018,43.0,87.6
Missouri,2018,40.0,82.4
Montana,2018,44.0,91.0
Nebraska,2018,7.0,58.5
Nevada,2018,27.0,75.4
New Hampshire,2018,37.0,80.8
New Jersey,2018,3.0,50.1
New Mexico,2018,49.0,105.7
New York,2018,1.0,45.7
North Carolina,2018,22.0,71.6
North Dakota,2018,16.0,69.5
Ohio,2018,34.0,80.2
Oklahoma,2018,47.0,95.8
Oregon,2018,21.0,71.2
Pennsylvania,2018,30.0,76.4
Rhode Island,2018,18.0,70.8
South Carolina,2018,39.0,81.6
South Dakota,2018,32.0,78.0
Tennessee,2018,42.0,85.4
Texas,2018,8.0,59.7
Utah,2018,31.0,76.9
Vermont,2018,26.0,74.4
Virginia,2018,9.0,61.2
Washington,2018,13.0,64.9
West Virginia,2018,50.0,109.0
Wisconsin,2018,25.0,74.1
Wyoming,2018,46.0,95.2
United States,2018,0.0,67.0
District of Columbia,2018,0.0,75.2
