State,Year,Drug_Deaths_Rank,Drug_Deaths_Value
Alabama,2017,22.0,14.3
Alaska,2017,27.0,15.6
Arizona,2017,37.0,19.0
Arkansas,2017,14.0,12.3
California,2017,10.0,11.8
Colorado,2017,28.0,16.0
Connecticut,2017,36.0,18.4
Delaware,2017,40.0,20.0
Florida,2017,20.0,14.1
Georgia,2017,12.0,11.9
Hawaii,2017,8.0,11.5
Idaho,2017,18.0,13.7
Illinois,2017,16.0,13.2
Indiana,2017,34.0,17.9
Iowa,2017,4.0,9.4
Kansas,2017,10.0,11.8
Kentucky,2017,49.0,25.5
Louisiana,2017,32.0,17.7
Maine,2017,29.0,16.7
Maryland,2017,32.0,17.7
Massachusetts,2017,38.0,19.8
Michigan,2017,35.0,18.0
Minnesota,2017,6.0,9.9
Mississippi,2017,8.0,11.5
Missouri,2017,30.0,17.6
Montana,2017,17.0,13.4
Nebraska,2017,2.0,6.7
Nevada,2017,42.0,20.8
New Hampshire,2017,45.0,24.4
New Jersey,2017,24.0,14.8
New Mexico,2017,47.0,24.9
New York,2017,13.0,12.2
North Carolina,2017,19.0,14.0
North Dakota,2017,1.0,5.7
Ohio,2017,46.0,24.5
Oklahoma,2017,41.0,20.3
Oregon,2017,14.0,12.3
Pennsylvania,2017,43.0,22.2
Rhode Island,2017,47.0,24.9
South Carolina,2017,23.0,14.5
South Dakota,2017,3.0,7.5
Tennessee,2017,39.0,19.9
Texas,2017,5.0,9.7
Utah,2017,44.0,22.9
Vermont,2017,25.0,14.9
Virginia,2017,7.0,11.3
Washington,2017,21.0,14.2
West Virginia,2017,50.0,35.3
Wisconsin,2017,26.0,15.1
Wyoming,2017,30.0,17.6
United States,2017,0.0,15.0
District of Columbia,2017,0.0,17.9
