State,Year,Disparity_in_Health_Status_Rank,Disparity_in_Health_Status_Value
Alabama,2017,11.0,25.1
Alaska,2017,1.0,11.1
Arizona,2017,21.0,28.0
Arkansas,2017,14.0,25.5
California,2017,49.0,36.3
Colorado,2017,42.0,33.7
Connecticut,2017,40.0,33.5
Delaware,2017,48.0,35.8
Florida,2017,23.0,28.7
Georgia,2017,24.0,28.9
Hawaii,2017,12.0,25.3
Idaho,2017,45.0,33.9
Illinois,2017,34.0,31.3
Indiana,2017,22.0,28.1
Iowa,2017,27.0,29.6
Kansas,2017,37.0,31.7
Kentucky,2017,5.0,20.3
Louisiana,2017,4.0,19.9
Maine,2017,25.0,29.3
Maryland,2017,33.0,31.2
Massachusetts,2017,35.0,31.5
Michigan,2017,18.0,26.8
Minnesota,2017,17.0,26.5
Mississippi,2017,3.0,19.0
Missouri,2017,30.0,30.1
Montana,2017,6.0,21.4
Nebraska,2017,46.0,34.6
Nevada,2017,20.0,27.8
New Hampshire,2017,39.0,33.2
New Jersey,2017,50.0,36.4
New Mexico,2017,29.0,30.0
New York,2017,31.0,30.9
North Carolina,2017,47.0,35.5
North Dakota,2017,16.0,26.3
Ohio,2017,18.0,26.8
Oklahoma,2017,9.0,24.3
Oregon,2017,32.0,31.0
Pennsylvania,2017,7.0,22.2
Rhode Island,2017,42.0,33.7
South Carolina,2017,8.0,24.0
South Dakota,2017,2.0,18.8
Tennessee,2017,15.0,26.0
Texas,2017,36.0,31.6
Utah,2017,25.0,29.3
Vermont,2017,38.0,32.1
Virginia,2017,42.0,33.7
Washington,2017,40.0,33.5
West Virginia,2017,12.0,25.3
Wisconsin,2017,10.0,24.9
Wyoming,2017,28.0,29.8
United States,2017,0.0,30.6
District of Columbia,2017,0.0,27.5
