State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,New Georeferenced Column,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
SD,South Dakota,09/01/2018,N,U,Y,2369,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Does Not Include All CHIP Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,2369,Includes Accounts Transferred from FFM; Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,1460,"Includes CHIP; Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",1460,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",79211,,111336,,18.2766,-66.335,"(18.2766, -66.335)",95538,,15798,
CT,Connecticut,09/01/2018,Y,U,Y,4460,Includes Duplicates,10385,Includes Duplicates; Includes Renewals and/or Redeterminations,14845,Includes Duplicates,13944,Includes Renewals and/or Redeterminations,315,Includes Renewals and/or Redeterminations,14259,Includes Renewals and/or Redeterminations,329162,,847594,,39.0646,-105.3272,"(39.0646, -105.3272)",828885,,18709,
OH,Ohio,09/01/2018,Y,U,Y,61557,Includes Renewals and/or Redeterminations,N/A,,61557,Includes Renewals and/or Redeterminations,50428,Includes CHIP; Includes Renewals and/or Redeterminations,2720,,53148,Includes Renewals and/or Redeterminations,1169717,,2712795,,38.4199,-117.1219,"(38.4199, -117.1219)",2492763,,220032,
WY,Wyoming,09/01/2018,N,U,Y,1438,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1438,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,708,,33,,741,,39767,,59452,,44.0407,-72.7093,"(44.0407, -72.7093)",54838,,4614,
NY,New York,09/01/2018,Y,U,Y,,,825077,Includes Renewals and/or Redeterminations,825077,Includes Renewals and/or Redeterminations,120423,Includes Renewals and/or Redeterminations,8995,Includes Renewals and/or Redeterminations,129418,Includes Renewals and/or Redeterminations,2502634,Includes Limited-Benefit Enrollees,6518773,Includes Limited-Benefit Enrollees,34.8375,-106.2371,"(34.8375, -106.2371)",5889613,Includes Limited-Benefit Enrollees,629160,
FL,Florida,09/01/2018,N,U,Y,259678,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,259678,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,168252,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,19725,,187977,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,2495011,,3724654,,39.3498,-75.5148,"(39.3498, -75.5148)",3499699,,224955,
MN,Minnesota,09/01/2018,Y,U,Y,5207,,17272,,22479,,16949,,37,,16986,,540055,,1079754,,43.3504,-84.5603,"(43.3504, -84.5603)",1078453,,1301,
OR,Oregon,09/01/2018,Y,U,Y,12218,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12218,Does Not Include All Non-MAGI Applications,20437,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2284,,22721,Does Not Include All Non-MAGI Determinations Made At Application,414553,,972150,,40.3736,-82.7755,"(40.3736, -82.7755)",846182,,125968,
LA,Louisiana,09/01/2018,Y,U,Y,22666,,N/A,,22666,,29195,,2070,,31265,,728076,,1457989,,37.669,-84.6514,"(37.669, -84.6514)",1328341,,129648,
CA,California,09/01/2018,Y,U,Y,151841,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,151841,,145620,Does Not Include All Medicaid Determinations Made At Application,11128,Does Not Include All CHIP Determinations Made At Application,156748,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,5037017,,12011621,,33.7712,-111.3877,"(33.7712, -111.3877)",10706541,,1305080,
