State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
PA,Pennsylvania,03/01/2018,Y,U,Y,84721,Includes Renewals and/or Redeterminations,N/A,,84721,Includes Renewals and/or Redeterminations,51716,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",10626,"Count is of Households, Not Individuals",62342,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,3001094,,35.5376,-96.9247,2819491,,181603,
NY,New York,03/01/2018,Y,U,Y,,,675224,Includes Renewals and/or Redeterminations,675224,Includes Renewals and/or Redeterminations,113379,Includes Renewals and/or Redeterminations,6633,Includes Renewals and/or Redeterminations,120012,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6510841,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5896071,Includes Limited-Benefit Enrollees,614770,
GA,Georgia,03/01/2018,N,U,Y,49146,,N/A,,49146,,36828,,1220,,38048,,,1876354,,27.8333,-81.717,1668843,,207511,
SC,South Carolina,03/01/2018,N,U,Y,22982,,N/A,,22982,,6412,Does Not Include All Medicaid Determinations Made At Application,125,Does Not Include All CHIP Determinations Made At Application,6537,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1041832,,40.5773,-77.264,956913,,84919,
WA,Washington,03/01/2018,Y,U,Y,20304,,70983,,91287,,40514,,1576,,42090,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1765942,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1701697,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),64245,
AK,Alaska,03/01/2018,Y,U,Y,3373,Includes Renewals and/or Redeterminations,N/A,,3373,Includes Renewals and/or Redeterminations,2584,Includes Renewals and/or Redeterminations; Includes CHIP,,,2584,Includes Renewals and/or Redeterminations,,205761,,61.385,-152.2683,192481,,13280,
IN,Indiana,03/01/2018,Y,U,Y,89212,,N/A,,89212,,37522,,3221,,40743,,,1464453,,40.3363,-89.0022,1354843,,109610,
CA,California,03/01/2018,Y,U,Y,171095,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,171095,,170838,Does Not Include All Medicaid Determinations Made At Application,15140,Does Not Include All CHIP Determinations Made At Application,185978,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12193802,,33.7712,-111.3877,10876767,,1317035,
IL,Illinois,03/01/2018,Y,U,Y,69424,,N/A,,69424,,41532,,15436,,56968,,,2978713,,44.2394,-114.5103,2751742,,226971,
ME,Maine,03/01/2018,Y,U,Y,1366,,N/A,,1366,,10518,,712,,11230,,,269346,,39.0724,-76.7902,259646,,9700,
TX,Texas,03/01/2018,N,U,Y,122551,,N/A,,122551,,94105,,17165,,111270,,,4414433,,33.8191,-80.9066,3767906,,646527,
NH,New Hampshire,03/01/2018,Y,U,Y,8661,,N/A,,8661,,5367,,511,,5878,,,187515,,47.5362,-99.793,173028,,14487,
MI,Michigan,03/01/2018,Y,U,Y,47270,,N/A,,47270,,47295,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1438,,48733,,Does Not Include All Full-Benefit Child Medicaid enrollees,2381578,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2325348,Does Not Include All Full-Benefit Medicaid enrollees,56230,
HI,Hawaii,03/01/2018,Y,U,Y,3999,,N/A,,3999,,4612,,243,,4855,,,348352,,32.9866,-83.6487,323455,,24897,
AZ,Arizona,03/01/2018,Y,U,Y,,,N/A,,,,,,,,,,,1678077,,14.2417,-170.7197,1581222,,96855,
MD,Maryland,03/01/2018,Y,U,Y,7779,,85938,Includes Renewals and/or Redeterminations,93717,Includes Renewals and/or Redeterminations,26936,Includes Renewals and/or Redeterminations,3549,Includes Renewals and/or Redeterminations,30485,Includes Renewals and/or Redeterminations,,1332308,,42.2373,-71.5314,1181472,,150836,
NE,Nebraska,03/01/2018,N,U,Y,6196,,N/A,,6196,,7802,,1040,,8842,,,250897,,35.6411,-79.8431,216687,,34210,
MA,Massachusetts,03/01/2018,Y,U,Y,18529,,3515,,22044,,,,,,,,,1669382,,31.1801,-91.8749,1490768,,178614,
OH,Ohio,03/01/2018,Y,U,Y,70858,Includes Renewals and/or Redeterminations,N/A,,70858,Includes Renewals and/or Redeterminations,46233,Includes CHIP; Includes Renewals and/or Redeterminations,2765,,48998,Includes Renewals and/or Redeterminations,,2787872,,38.4199,-117.1219,2571632,,216240,
NJ,New Jersey,03/01/2018,Y,U,Y,25501,,N/A,,25501,,20085,Does Not Include All Medicaid Determinations Made At Application,7371,Does Not Include All CHIP Determinations Made At Application,27456,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1784928,,41.1289,-98.2883,1575763,,209165,
ID,Idaho,03/01/2018,N,U,Y,10725,,,,10725,,9787,,2190,,11977,,,277803,,42.0046,-93.214,252527,,25276,
RI,Rhode Island,03/01/2018,Y,U,Y,2572,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2572,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3384,,461,,3845,,,311036,,44.5672,-122.1269,281430,,29606,
NC,North Carolina,03/01/2018,N,U,Y,22992,,N/A,,22992,,35639,,3628,,39267,,,1793406,,32.7673,-89.6812,1552552,,240854,
FL,Florida,03/01/2018,N,U,Y,276810,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,276810,Includes Accounts Transferred from FFM; Does Not Include All Applications for Limited-Benefit Programs,178193,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,23669,,201862,Does Not Include All Determinations for Limited-Benefit Programs Made At Application,,3778635,,39.3498,-75.5148,3575187,,203448,
UT,Utah,03/01/2018,N,U,Y,20682,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,20682,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",55569,Includes CHIP,,,55569,,,301447,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,255586,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45861,
WV,West Virginia,03/01/2018,Y,U,Y,23146,,N/A,,23146,,12817,,711,,13528,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),535880,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,502629,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),33251,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MT,Montana,03/01/2018,Y,U,Y,3521,,N/A,,3521,,3553,,269,,3822,,,279583,,14.8058,145.5505,253190,,26393,
AL,Alabama,03/01/2018,N,U,Y,19632,,N/A,,19632,,30340,,2623,,32963,,,906824,,32.799,-86.8073,728806,,178018,
MS,Mississippi,03/01/2018,N,U,Y,17843,,N/A,,17843,,12132,,553,,12685,,,638745,,38.4623,-92.302,560293,,78452,
