State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
AL,Alabama,05/01/2018,N,U,Y,19326,,N/A,,19326,,28625,,2577,,31202,,,900889,,32.799,-86.8073,729583,,171306,
AK,Alaska,05/01/2018,Y,U,Y,3549,Includes Renewals and/or Redeterminations,N/A,,3549,Includes Renewals and/or Redeterminations,2312,Includes Renewals and/or Redeterminations; Includes CHIP,,,2312,Includes Renewals and/or Redeterminations,,207771,,61.385,-152.2683,194367,,13404,
AZ,Arizona,05/01/2018,Y,U,Y,,,N/A,,,,,,,,,,,1678798,,14.2417,-170.7197,1580306,,98492,
CA,California,05/01/2018,Y,U,Y,167635,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,167635,,158967,Does Not Include All Medicaid Determinations Made At Application,12258,Does Not Include All CHIP Determinations Made At Application,171225,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12109710,,33.7712,-111.3877,10797473,,1312237,
DC,District of Columbia,05/01/2018,Y,U,Y,3537,Includes SBM data,1739,,5276,Includes Renewals and/or Redeterminations,3705,Includes Renewals and/or Redeterminations; Includes CHIP,,,3705,,,258769,,41.5834,-72.7622,245126,,13643,
GA,Georgia,05/01/2018,N,U,Y,47284,,N/A,,47284,,33297,,1179,,34476,,,1862562,,27.8333,-81.717,1655637,,206925,
HI,Hawaii,05/01/2018,Y,U,Y,4481,,N/A,,4481,,5151,,311,,5462,,,339945,,32.9866,-83.6487,315564,,24381,
ID,Idaho,05/01/2018,N,U,Y,8070,,,,8070,,6724,,607,,7331,,,271305,,42.0046,-93.214,246820,,24485,
IL,Illinois,05/01/2018,Y,U,Y,62086,,N/A,,62086,,41499,,14441,,55940,,,2997641,,44.2394,-114.5103,2769780,,227861,
IN,Indiana,05/01/2018,Y,U,Y,79430,,N/A,,79430,,37127,,3169,,40296,,,1454452,,40.3363,-89.0022,1344819,,109633,
IA,Iowa,05/01/2018,Y,U,Y,13472,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,13472,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,1328,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,1328,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,680109,,21.1098,-157.5311,610016,,70093,
ME,Maine,05/01/2018,Y,U,Y,5284,,N/A,,5284,,10443,,633,,11076,,,268332,,39.0724,-76.7902,258429,,9903,
