State,Year,Uninsured_Rank,Uninsured_Value
Alaska,2019,47.0,13.2
Alabama,2019,37.0,9.7
United States,2019,0.0,8.8
Arkansas,2019,25.0,8.1
Arizona,2019,39.0,10.4
California,2019,21.0,7.2
Colorado,2019,23.0,7.5
Connecticut,2019,8.0,5.4
District of Columbia,2019,0.0,3.5
Delaware,2019,13.0,5.7
Florida,2019,46.0,13.0
Georgia,2019,48.0,13.6
Hawaii,2019,2.0,4.0
Iowa,2019,6.0,4.7
Idaho,2019,40.0,10.6
Illinois,2019,19.0,6.9
Indiana,2019,28.0,8.3
Kansas,2019,31.0,8.8
Kentucky,2019,9.0,5.5
Louisiana,2019,27.0,8.2
Massachusetts,2019,1.0,2.8
Maryland,2019,15.0,6.1
Maine,2019,25.0,8.1
Michigan,2019,7.0,5.3
Minnesota,2019,4.0,4.4
Missouri,2019,33.0,9.3
Mississippi,2019,45.0,12.1
Montana,2019,30.0,8.4
North Carolina,2019,41.0,10.7
North Dakota,2019,22.0,7.4
Nebraska,2019,28.0,8.3
New Hampshire,2019,14.0,5.8
New Jersey,2019,24.0,7.6
New Mexico,2019,33.0,9.3
Nevada,2019,43.0,11.2
New York,2019,12.0,5.6
Ohio,2019,16.0,6.3
Oklahoma,2019,49.0,14.2
Oregon,2019,20.0,7.0
Pennsylvania,2019,9.0,5.5
Rhode Island,2019,4.0,4.4
South Carolina,2019,42.0,10.8
South Dakota,2019,36.0,9.5
Tennessee,2019,38.0,9.8
Texas,2019,50.0,17.5
Utah,2019,33.0,9.3
Virginia,2019,31.0,8.8
Vermont,2019,3.0,4.3
Washington,2019,16.0,6.3
Wisconsin,2019,9.0,5.5
West Virginia,2019,16.0,6.3
Wyoming,2019,44.0,11.4
