State,Year,Cardiovascular_Deaths_Rank,Cardiovascular_Deaths_Value
Alabama,2019,48.0,347.0
Alaska,2019,11.0,227.6
Arizona,2019,7.0,223.8
Arkansas,2019,47.0,338.3
California,2019,17.0,236.7
Colorado,2019,2.0,207.2
Connecticut,2019,5.0,219.8
Delaware,2019,28.0,256.4
Florida,2019,17.0,236.7
Georgia,2019,38.0,285.3
Hawaii,2019,3.0,209.8
Idaho,2019,26.0,247.8
Illinois,2019,33.0,262.4
Indiana,2019,37.0,282.6
Iowa,2019,27.0,252.2
Kansas,2019,31.0,261.8
Kentucky,2019,42.0,301.2
Louisiana,2019,46.0,323.5
Maine,2019,13.0,233.6
Maryland,2019,32.0,262.1
Massachusetts,2019,3.0,209.8
Michigan,2019,41.0,300.7
Minnesota,2019,1.0,193.8
Mississippi,2019,50.0,363.2
Missouri,2019,40.0,295.3
Montana,2019,22.0,240.2
Nebraska,2019,16.0,236.4
Nevada,2019,43.0,302.6
New Hampshire,2019,8.0,226.0
New Jersey,2019,25.0,247.2
New Mexico,2019,12.0,231.4
New York,2019,30.0,259.4
North Carolina,2019,29.0,257.2
North Dakota,2019,10.0,227.5
Ohio,2019,39.0,291.3
Oklahoma,2019,49.0,347.5
Oregon,2019,9.0,226.1
Pennsylvania,2019,35.0,269.0
Rhode Island,2019,14.0,234.5
South Carolina,2019,36.0,278.5
South Dakota,2019,21.0,240.1
Tennessee,2019,45.0,313.6
Texas,2019,34.0,267.7
Utah,2019,19.0,238.7
Vermont,2019,19.0,238.7
Virginia,2019,23.0,242.6
Washington,2019,6.0,222.4
West Virginia,2019,44.0,303.7
Wisconsin,2019,23.0,242.6
Wyoming,2019,15.0,234.7
United States,2019,0.0,260.4
District of Columbia,2019,0.0,303.1
