State,Year,High_Blood_Pressure_Rank,High_Blood_Pressure_Value
Alabama,2019,49.0,41.9
Alaska,2019,23.0,31.8
Arizona,2019,18.0,30.7
Arkansas,2019,48.0,41.3
California,2019,4.0,28.4
Colorado,2019,2.0,25.9
Connecticut,2019,14.0,30.5
Delaware,2019,40.0,34.9
Florida,2019,35.0,34.6
Georgia,2019,33.0,33.1
Hawaii,2019,16.0,30.6
Idaho,2019,10.0,29.8
Illinois,2019,25.0,32.2
Indiana,2019,41.0,35.2
Iowa,2019,22.0,31.5
Kansas,2019,31.0,32.8
Kentucky,2019,46.0,39.4
Louisiana,2019,45.0,39.0
Maine,2019,39.0,34.8
Maryland,2019,26.0,32.4
Massachusetts,2019,5.0,28.6
Michigan,2019,36.0,34.7
Minnesota,2019,3.0,26.6
Mississippi,2019,47.0,40.8
Missouri,2019,24.0,32.0
Montana,2019,6.0,29.0
Nebraska,2019,16.0,30.6
Nevada,2019,29.0,32.6
New Hampshire,2019,11.0,30.0
New Jersey,2019,32.0,33.0
New Mexico,2019,14.0,30.5
New York,2019,7.0,29.4
North Carolina,2019,36.0,34.7
North Dakota,2019,8.0,29.5
Ohio,2019,36.0,34.7
Oklahoma,2019,42.0,37.7
Oregon,2019,12.0,30.1
Pennsylvania,2019,29.0,32.6
Rhode Island,2019,33.0,33.1
South Carolina,2019,43.0,38.1
South Dakota,2019,19.0,30.8
Tennessee,2019,44.0,38.7
Texas,2019,28.0,32.5
Utah,2019,1.0,24.5
Vermont,2019,13.0,30.4
Virginia,2019,26.0,32.4
Washington,2019,8.0,29.5
West Virginia,2019,50.0,43.5
Wisconsin,2019,19.0,30.8
Wyoming,2019,19.0,30.8
United States,2019,0.0,32.2
District of Columbia,2019,0.0,26.7
