State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
SC,South Carolina,04/01/2018,N,U,Y,21879,,N/A,,21879,,7033,Does Not Include All Medicaid Determinations Made At Application,156,Does Not Include All CHIP Determinations Made At Application,7189,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1043534,,40.5773,-77.264,956798,,86736,
NC,North Carolina,04/01/2018,N,U,Y,22427,,N/A,,22427,,35059,,3694,,38753,,,1788305,,32.7673,-89.6812,1547708,,240597,
WV,West Virginia,04/01/2018,Y,U,Y,20659,,N/A,,20659,,11507,,597,,12104,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),534627,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,501965,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32662,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
UT,Utah,04/01/2018,N,U,Y,19943,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",N/A,,19943,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.); Includes Accounts Transferred from FFM",38549,Includes CHIP,,,38549,,,300717,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,44.2853,-99.4632,254855,Includes Enrollees in Other Financial Assistance Programs Not Enrolled in Medicaid or CHIP,45862,
MS,Mississippi,04/01/2018,N,U,Y,16188,,N/A,,16188,,10979,,442,,11421,,,635933,,38.4623,-92.302,557992,,77941,
MT,Montana,04/01/2018,Y,U,Y,3040,,N/A,,3040,,3339,,175,,3514,,,280169,,14.8058,145.5505,254224,,25945,
TN,Tennessee,04/01/2018,N,U,Y,538,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,538,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,470,,470,Does Not Include All Medicaid Determinations Made At Application,,1512118,,41.6772,-71.5101,1435586,,76532,
OR,Oregon,04/01/2018,Y,U,Y,12199,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,12199,Does Not Include All Non-MAGI Applications,22554,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",1872,,24426,Does Not Include All Non-MAGI Determinations Made At Application,,975183,,40.3736,-82.7755,849378,,125805,
RI,Rhode Island,04/01/2018,Y,U,Y,2586,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,2586,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",3388,,460,,3848,,,312463,,44.5672,-122.1269,282577,,29886,
VT,Vermont,04/01/2018,Y,U,Y,2861,,1109,,3970,Includes Renewals and/or Redeterminations,3950,Includes Renewals and/or Redeterminations,109,,4059,,,165999,,31.106,-97.6475,161324,,4675,
PA,Pennsylvania,04/01/2018,Y,U,Y,88329,Includes Renewals and/or Redeterminations,N/A,,88329,Includes Renewals and/or Redeterminations,51605,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",6799,"Count is of Households, Not Individuals",58404,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2974299,,35.5376,-96.9247,2796260,,178039,
MN,Minnesota,04/01/2018,Y,U,Y,6223,,19094,,25317,,18747,,58,,18805,,,1085100,,43.3504,-84.5603,1083766,,1334,
VA,Virginia,04/01/2018,Y,U,Y,20509,Includes Renewals and/or Redeterminations,N/A,,20509,Includes Renewals and/or Redeterminations,21247,Includes Renewals and/or Redeterminations,1029,Includes Renewals and/or Redeterminations,22276,Includes Renewals and/or Redeterminations,,1041481,,35.7449,-86.7489,902408,,139073,
