State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
MD,Maryland,01/01/2018,Y,U,Y,7384,,96624,Includes Renewals and/or Redeterminations,104008,Includes Renewals and/or Redeterminations,27749,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",4696,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",32445,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,1325225,,42.2373,-71.5314,1175447,,149778,
MN,Minnesota,01/01/2018,Y,U,Y,6015,,36382,,42397,,26336,,59,,26395,,,1081301,,43.3504,-84.5603,1079881,,1420,
VT,Vermont,01/01/2018,Y,U,Y,3621,,1196,,4817,Includes Renewals and/or Redeterminations,4752,Includes Renewals and/or Redeterminations,161,,4913,,,164804,,31.106,-97.6475,160021,,4783,
OR,Oregon,01/01/2018,Y,U,Y,14929,Does Not Include All Non-MAGI Applications Submitted to Medicaid and CHIP Agencies,N/A,,14929,Does Not Include All Non-MAGI Applications,31100,"Count is of Households, Not Individuals; Does Not Include All Non-MAGI Determinations Made At Application",2797,,33897,Does Not Include All Non-MAGI Determinations Made At Application,,973460,,40.3736,-82.7755,847632,,125828,
NE,Nebraska,01/01/2018,N,U,Y,7087,,N/A,,7087,,7949,,1200,,9149,,,249328,,35.6411,-79.8431,215186,,34142,
AZ,Arizona,01/01/2018,Y,U,Y,,,N/A,,,,,,,,,,,1685219,,14.2417,-170.7197,1591805,,93414,
RI,Rhode Island,01/01/2018,Y,U,Y,3594,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",,,3594,"Includes Applications for Other Programs (e.g, QHPs, SNAP, etc.)",5213,,658,,5871,,,313552,,44.5672,-122.1269,283708,,29844,
IL,Illinois,01/01/2018,Y,U,Y,71438,,N/A,,71438,,31820,,9998,,41818,,,3076689,,44.2394,-114.5103,2833653,,243036,
WA,Washington,01/01/2018,Y,U,Y,22071,,96724,,118795,,48396,,2092,,50488,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),1778791,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),40.1135,-111.8535,1716605,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),62186,
VA,Virginia,01/01/2018,Y,U,Y,22779,Includes Renewals and/or Redeterminations,N/A,,22779,Includes Renewals and/or Redeterminations,18816,Includes Renewals and/or Redeterminations,827,Includes Renewals and/or Redeterminations,19643,Includes Renewals and/or Redeterminations,,1030996,,35.7449,-86.7489,894254,,136742,
DC,District of Columbia,01/01/2018,Y,U,Y,3458,Includes SBM data,2190,,5648,Includes Renewals and/or Redeterminations,3707,Includes Renewals and/or Redeterminations; Includes CHIP,,,3707,,,262096,,41.5834,-72.7622,249630,,12466,
IN,Indiana,01/01/2018,Y,U,Y,97732,,N/A,,97732,,36050,,3021,,39071,,,1475812,,40.3363,-89.0022,1367451,,108361,
ID,Idaho,01/01/2018,N,U,Y,10741,,,,10741,,8497,,838,,9335,,,286089,,42.0046,-93.214,260538,,25551,
GA,Georgia,01/01/2018,N,U,Y,54480,,N/A,,54480,,36144,,1352,,37496,,,1818601,,27.8333,-81.717,1622947,,195654,
NH,New Hampshire,01/01/2018,Y,U,Y,9677,,N/A,,9677,,5949,,596,,6545,,,188893,,47.5362,-99.793,174232,,14661,
IA,Iowa,01/01/2018,Y,U,Y,16566,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,N/A,,16566,Includes Renewals and/or Redeterminations; Includes Administrative Data Transfers,3038,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application,,Includes Renewals and/or Redeterminations; Does Not Include All CHIP Determinations Made At Application,3038,Includes Renewals and/or Redeterminations; Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,663835,,21.1098,-157.5311,596232,,67603,
MT,Montana,01/01/2018,Y,U,Y,3788,,N/A,,3788,,4065,,383,,4448,,,276623,,14.8058,145.5505,249726,,26897,
MA,Massachusetts,01/01/2018,Y,U,Y,20184,,5461,,25645,,,,,,,,,1667266,,31.1801,-91.8749,1491461,,175805,
CA,California,01/01/2018,Y,U,Y,231090,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,231090,,172824,Does Not Include All Medicaid Determinations Made At Application,15423,Does Not Include All CHIP Determinations Made At Application,188247,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12103881,,33.7712,-111.3877,10803299,,1300582,
ME,Maine,01/01/2018,Y,U,Y,1445,,N/A,,1445,,9690,,445,,10135,,,263926,,39.0724,-76.7902,259226,,4700,
NY,New York,01/01/2018,Y,U,Y,,,773857,Includes Renewals and/or Redeterminations,773857,Includes Renewals and/or Redeterminations,132640,Includes Renewals and/or Redeterminations,9676,Includes Renewals and/or Redeterminations,142316,Includes Renewals and/or Redeterminations,Includes Limited-Benefit Enrollees,6501813,Includes Limited-Benefit Enrollees,34.8375,-106.2371,5896262,Includes Limited-Benefit Enrollees,605551,
HI,Hawaii,01/01/2018,Y,U,Y,4552,,N/A,,4552,,7530,,394,,7924,,,349361,,32.9866,-83.6487,324486,,24875,
AL,Alabama,01/01/2018,N,U,Y,19650,,N/A,,19650,,28689,,3182,,31871,,,902197,,32.799,-86.8073,729697,,172500,
TX,Texas,01/01/2018,N,U,Y,141692,,N/A,,141692,,94107,,17175,,111282,,,4452925,,33.8191,-80.9066,3839524,,613401,
WI,Wisconsin,01/01/2018,N,U,Y,28385,Does Not Include All Applications for Limited-Benefit Programs Submitted to Medicaid and CHIP Agencies,N/A,,28385,Does Not Include All Applications for Limited-Benefit Programs,23715,"Count is of Households, Not Individuals",1910,,25625,,,1037795,,37.768,-78.2057,970576,,67219,
WV,West Virginia,01/01/2018,Y,U,Y,26517,,N/A,,26517,,14914,,733,,15647,,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),538826,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),18.0001,-64.8199,506132,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count),32694,Includes Individuals Enrolled At Any Time in Month (Not a Point-in-Time Count)
MS,Mississippi,01/01/2018,N,U,Y,17902,,N/A,,17902,,10083,,491,,10574,,,645271,,38.4623,-92.302,566281,,78990,
TN,Tennessee,01/01/2018,N,U,Y,633,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,N/A,,633,Does Not Include All Medicaid Applications,,Does Not Include All Medicaid Determinations Made At Application,478,,478,Does Not Include All Medicaid Determinations Made At Application,,1560038,,41.6772,-71.5101,1479514,,80524,
SC,South Carolina,01/01/2018,N,U,Y,23401,,N/A,,23401,,7046,Does Not Include All Medicaid Determinations Made At Application,199,Does Not Include All CHIP Determinations Made At Application,7245,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1038602,,40.5773,-77.264,955716,,82886,
NC,North Carolina,01/01/2018,N,U,Y,24374,,N/A,,24374,,35422,,3939,,39361,,,1784003,,32.7673,-89.6812,1547003,,237000,
NJ,New Jersey,01/01/2018,Y,U,Y,34210,,N/A,,34210,,14975,Does Not Include All Medicaid Determinations Made At Application,5733,Does Not Include All CHIP Determinations Made At Application,20708,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,1777619,,41.1289,-98.2883,1571086,,206533,
MI,Michigan,01/01/2018,Y,U,Y,52844,,N/A,,52844,,53498,Does Not Include All MAGI Determinations Made At Application; Includes Renewals and/or Redeterminations,1480,,54978,,Does Not Include All Full-Benefit Child Medicaid enrollees,2376844,Does Not Include All Full-Benefit Medicaid enrollees,44.6074,-69.3977,2319734,Does Not Include All Full-Benefit Medicaid enrollees,57110,
AK,Alaska,01/01/2018,Y,U,Y,3735,Includes Renewals and/or Redeterminations,N/A,,3735,Includes Renewals and/or Redeterminations,2838,Includes Renewals and/or Redeterminations; Includes CHIP,,,2838,Includes Renewals and/or Redeterminations,,203654,,61.385,-152.2683,190513,,13141,
OH,Ohio,01/01/2018,Y,U,Y,74779,Includes Renewals and/or Redeterminations,N/A,,74779,Includes Renewals and/or Redeterminations,49461,Includes CHIP; Includes Renewals and/or Redeterminations,2932,,52393,Includes Renewals and/or Redeterminations,,2798159,,38.4199,-117.1219,2583415,,214744,
WY,Wyoming,01/01/2018,N,U,Y,1619,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies; Includes Administrative Data Transfers,N/A,,1619,Does Not Include All Medicaid Applications; Does Not Include All CHIP Applications; Includes Administrative Data Transfers,669,,28,,697,,,60806,,44.0407,-72.7093,56039,,4767,
PA,Pennsylvania,01/01/2018,Y,U,Y,95922,Includes Renewals and/or Redeterminations,N/A,,95922,Includes Renewals and/or Redeterminations,58757,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",11107,"Count is of Households, Not Individuals",69864,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,3005347,,35.5376,-96.9247,2823793,,181554,
