State,Year,Dedicated_Health_Provider_Rank,Dedicated_Health_Provider_Value
Alabama,2014,23,77.8
Alaska,2014,48,67.2
Arizona,2014,47,68.2
Arkansas,2014,26,77.1
California,2014,43,71.2
Colorado,2014,28,76.5
Connecticut,2014,8,84.8
Delaware,2014,5,85.9
Florida,2014,37,73.2
Georgia,2014,41,71.8
Hawaii,2014,7,85.1
Idaho,2014,40,71.9
Illinois,2014,17,80.0
Indiana,2014,16,80.4
Iowa,2014,15,80.6
Kansas,2014,21,78.5
Kentucky,2014,22,78.2
Louisiana,2014,33,74.1
Maine,2014,3,87.4
Maryland,2014,19,79.4
Massachusetts,2014,1,87.7
Michigan,2014,10,83.0
Minnesota,2014,38,72.9
Mississippi,2014,25,77.3
Missouri,2014,18,79.5
Montana,2014,44,70.4
Nebraska,2014,20,79.1
Nevada,2014,50,65.0
New Hampshire,2014,2,87.5
New Jersey,2014,11,81.4
New Mexico,2014,46,68.8
New York,2014,12,81.3
North Carolina,2014,35,73.5
North Dakota,2014,36,73.3
Ohio,2014,14,80.7
Oklahoma,2014,34,73.9
Oregon,2014,32,74.5
Pennsylvania,2014,6,85.8
Rhode Island,2014,9,84.3
South Carolina,2014,30,76.1
South Dakota,2014,30,76.1
Tennessee,2014,24,77.4
Texas,2014,49,66.9
Utah,2014,42,71.5
Vermont,2014,4,86.8
Virginia,2014,28,76.5
Washington,2014,39,72.5
West Virginia,2014,27,76.7
Wisconsin,2014,13,80.8
Wyoming,2014,45,69.2
United States,2014,0,77.1
District of Columbia,2014,0,76.2
