State,Year,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value
Alabama,2014,40,101.9
Alaska,2014,29,113.2
Arizona,2014,43,98.4
Arkansas,2014,39,102.6
California,2014,22,122.2
Colorado,2014,24,120.7
Connecticut,2014,6,166.7
Delaware,2014,30,112.8
Florida,2014,32,110.0
Georgia,2014,36,105.4
Hawaii,2014,9,140.2
Idaho,2014,50,80.1
Illinois,2014,11,133.9
Indiana,2014,37,104.2
Iowa,2014,46,85.7
Kansas,2014,35,106.6
Kentucky,2014,38,103.0
Louisiana,2014,20,123.7
Maine,2014,14,130.2
Maryland,2014,2,178.5
Massachusetts,2014,1,200.8
Michigan,2014,22,122.2
Minnesota,2014,7,145.2
Mississippi,2014,49,81.8
Missouri,2014,31,111.8
Montana,2014,41,99.7
Nebraska,2014,25,118.5
Nevada,2014,47,85.3
New Hampshire,2014,10,135.7
New Jersey,2014,8,143.7
New Mexico,2014,27,115.6
New York,2014,5,167.3
North Carolina,2014,26,117.9
North Dakota,2014,21,123.6
Ohio,2014,17,125.0
Oklahoma,2014,48,84.8
Oregon,2014,12,131.5
Pennsylvania,2014,13,130.3
Rhode Island,2014,3,177.0
South Carolina,2014,33,107.9
South Dakota,2014,28,113.5
Tennessee,2014,19,124.4
Texas,2014,42,98.8
Utah,2014,44,90.8
Vermont,2014,4,170.9
Virginia,2014,16,125.8
Washington,2014,15,126.7
West Virginia,2014,34,107.8
Wisconsin,2014,17,125.0
Wyoming,2014,45,90.0
United States,2014,0,123.5
District of Columbia,2014,0,324.6
