State,Year,Premature_Death_Rank,Premature_Death_Value
Alabama,2014,48,10008.0
Alaska,2014,34,7600.0
Arizona,2014,26,7124.0
Arkansas,2014,47,9656.0
California,2014,4,5590.0
Colorado,2014,11,5991.0
Connecticut,2014,5,5603.0
Delaware,2014,37,7729.0
Florida,2014,25,7116.0
Georgia,2014,35,7624.0
Hawaii,2014,9,5865.0
Idaho,2014,17,6310.0
Illinois,2014,21,6721.0
Indiana,2014,39,7993.0
Iowa,2014,16,6309.0
Kansas,2014,27,7209.0
Kentucky,2014,44,9575.0
Louisiana,2014,45,9625.0
Maine,2014,20,6645.0
Maryland,2014,22,6772.0
Massachusetts,2014,1,5345.0
Michigan,2014,32,7574.0
Minnesota,2014,2,5358.0
Mississippi,2014,50,10354.0
Missouri,2014,40,8120.0
Montana,2014,31,7480.0
Nebraska,2014,15,6224.0
Nevada,2014,29,7297.0
New Hampshire,2014,3,5580.0
New Jersey,2014,8,5837.0
New Mexico,2014,41,8445.0
New York,2014,7,5737.0
North Carolina,2014,36,7661.0
North Dakota,2014,23,6878.0
Ohio,2014,38,7928.0
Oklahoma,2014,46,9654.0
Oregon,2014,18,6371.0
Pennsylvania,2014,28,7287.0
Rhode Island,2014,12,6049.0
South Carolina,2014,42,8645.0
South Dakota,2014,30,7330.0
Tennessee,2014,43,9168.0
Texas,2014,24,7050.0
Utah,2014,13,6143.0
Vermont,2014,6,5679.0
Virginia,2014,19,6502.0
Washington,2014,10,5912.0
West Virginia,2014,49,10159.0
Wisconsin,2014,14,6207.0
Wyoming,2014,33,7593.0
United States,2014,0,6976.0
District of Columbia,2014,0,8531.0
