State,Year,Infant_Mortality_Rank,Infant_Mortality_Value
Alabama,2014,49,8.6
Alaska,2014,2,4.5
Arizona,2014,20,5.9
Arkansas,2014,39,7.2
California,2014,4,4.6
Colorado,2014,12,5.1
Connecticut,2014,12,5.1
Delaware,2014,47,8.2
Florida,2014,25,6.2
Georgia,2014,29,6.5
Hawaii,2014,12,5.1
Idaho,2014,16,5.2
Illinois,2014,29,6.5
Indiana,2014,39,7.2
Iowa,2014,9,5.0
Kansas,2014,26,6.3
Kentucky,2014,35,6.7
Louisiana,2014,47,8.2
Maine,2014,32,6.6
Maryland,2014,32,6.6
Massachusetts,2014,1,4.2
Michigan,2014,35,6.7
Minnesota,2014,7,4.9
Mississippi,2014,50,9.1
Missouri,2014,29,6.5
Montana,2014,20,5.9
Nebraska,2014,12,5.1
Nevada,2014,18,5.3
New Hampshire,2014,2,4.5
New Jersey,2014,6,4.7
New Mexico,2014,24,6.1
New York,2014,9,5.0
North Carolina,2014,41,7.3
North Dakota,2014,26,6.3
Ohio,2014,46,7.7
Oklahoma,2014,43,7.4
Oregon,2014,9,5.0
Pennsylvania,2014,35,6.7
Rhode Island,2014,28,6.4
South Carolina,2014,44,7.5
South Dakota,2014,44,7.5
Tennessee,2014,41,7.3
Texas,2014,19,5.8
Utah,2014,16,5.2
Vermont,2014,4,4.6
Virginia,2014,32,6.6
Washington,2014,7,4.9
West Virginia,2014,38,7.0
Wisconsin,2014,23,6.0
Wyoming,2014,20,5.9
United States,2014,0,6.0
District of Columbia,2014,0,7.8
