State Abbreviation,State Name,Report Date,State Expanded Medicaid,Preliminary_Updated,Final_Report,New Applications Submitted to Medicaid and CHIP Agencies,New Applications Submitted to Medicaid and CHIP Agencies – footnotes,Applications for Financial Assistance Submitted to the State Based Marketplace,Applications for Financial Assistance Submitted to the State Based Marketplace – footnotes,Total Applications for Financial Assistance Submitted at State Level,Total Applications for Financial Assistance Submitted at State Level – footnotes,Individuals Determined Eligible for Medicaid at Application,Individuals Determined Eligible for Medicaid at Application - footnotes,Individuals Determined Eligible for CHIP at Application,Individuals Determined Eligible for CHIP at Application - footnotes,Total Medicaid and CHIP Determinations,Total Medicaid and CHIP Determinations - Footnotes,Medicaid and CHIP Child Enrollment - footnotes,Total Medicaid and CHIP Enrollment,Total Medicaid and CHIP Enrollment - footnotes,Latitude,Longitude,Total Medicaid Enrollment ,Total Medicaid Enrollment - footnotes,Total CHIP Enrollment,Total CHIP Enrollment - footnotes
CA,California,08/01/2017,Y,U,Y,180390,Does Not Include All Medicaid Applications Submitted to Medicaid and CHIP Agencies,,,180390,,164578,Does Not Include All Medicaid Determinations Made At Application,12561,Does Not Include All CHIP Determinations Made At Application,177139,Does Not Include All Medicaid Determinations Made At Application; Does Not Include All CHIP Determinations Made At Application,,12310936,,33.7712,-111.3877,11010221,,1300715,
PA,Pennsylvania,08/01/2017,Y,U,Y,92808,Includes Renewals and/or Redeterminations,N/A,,92808,Includes Renewals and/or Redeterminations,54935,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",9447,"Count is of Households, Not Individuals",64382,"Includes Renewals and/or Redeterminations; Count is of Households, Not Individuals",,2964496,,35.5376,-96.9247,2787819,,176677,
VT,Vermont,08/01/2017,Y,U,Y,3392,,1624,,5016,Includes Renewals and/or Redeterminations,4642,Includes Renewals and/or Redeterminations,96,,4738,,,166295,,31.106,-97.6475,161590,,4705,
AZ,Arizona,08/01/2017,Y,U,Y,,,N/A,,,,,,,,,,,1742701,,14.2417,-170.7197,1646612,,96089,
NE,Nebraska,08/01/2017,N,U,Y,6814,,N/A,,6814,,8525,,991,,9516,,,246250,,35.6411,-79.8431,213714,,32536,
MS,Mississippi,08/01/2017,N,U,Y,20645,,N/A,,20645,,14846,,548,,15394,,,655829,,38.4623,-92.302,575879,,79950,
TX,Texas,08/01/2017,N,U,Y,139264,,N/A,,139264,,100130,,16031,,116161,,,4444789,,33.8191,-80.9066,3864515,,580274,
ID,Idaho,08/01/2017,N,U,Y,7865,,,,7865,,5936,,367,,6303,,,296356,,42.0046,-93.214,273867,,22489,
VA,Virginia,08/01/2017,Y,U,Y,25641,Includes Renewals and/or Redeterminations,N/A,,25641,Includes Renewals and/or Redeterminations,16157,Includes Renewals and/or Redeterminations,624,Includes Renewals and/or Redeterminations,16781,Includes Renewals and/or Redeterminations,,1023102,,35.7449,-86.7489,895340,,127762,
MD,Maryland,08/01/2017,Y,U,Y,8363,,88055,Includes Renewals and/or Redeterminations,96418,Includes Renewals and/or Redeterminations,28747,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",4297,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",33044,"Count is of Households, Not Individuals; Includes Renewals and/or Redeterminations",,1309986,,42.2373,-71.5314,1163808,,146178,
