State,Year,High_Cholesterol_Rank,High_Cholesterol_Value
Alaska,2015,27.0,38.6
Alabama,2015,50.0,44.4
United States,2015,0.0,38.4
Arkansas,2015,46.0,42.4
Arizona,2015,35.0,39.7
California,2015,20.0,37.7
Colorado,2015,3.0,34.8
Connecticut,2015,22.0,37.8
District of Columbia,2015,0.0,34.0
Delaware,2015,39.0,40.6
Florida,2015,38.0,40.3
Georgia,2015,23.0,38.1
Hawaii,2015,4.0,34.9
Iowa,2015,43.0,41.1
Idaho,2015,25.0,38.4
Illinois,2015,11.0,36.6
Indiana,2015,37.0,39.8
Kansas,2015,23.0,38.1
Kentucky,2015,49.0,43.2
Louisiana,2015,41.0,40.7
Massachusetts,2015,10.0,36.5
Maryland,2015,16.0,37.0
Maine,2015,35.0,39.7
Michigan,2015,39.0,40.6
Minnesota,2015,2.0,33.6
Missouri,2015,32.0,38.8
Mississippi,2015,45.0,41.9
Montana,2015,7.0,35.7
North Carolina,2015,42.0,41.0
North Dakota,2015,9.0,36.4
Nebraska,2015,18.0,37.4
New Hampshire,2015,13.0,36.7
New Jersey,2015,34.0,39.2
New Mexico,2015,15.0,36.8
Nevada,2015,27.0,38.6
New York,2015,33.0,39.1
Ohio,2015,19.0,37.5
Oklahoma,2015,44.0,41.2
Oregon,2015,16.0,37.0
Pennsylvania,2015,26.0,38.5
Rhode Island,2015,30.0,38.7
South Carolina,2015,47.0,42.6
South Dakota,2015,11.0,36.6
Tennessee,2015,30.0,38.7
Texas,2015,20.0,37.7
Utah,2015,1.0,33.4
Virginia,2015,27.0,38.6
Vermont,2015,6.0,35.2
Washington,2015,13.0,36.7
Wisconsin,2015,8.0,36.2
West Virginia,2015,48.0,42.9
Wyoming,2015,5.0,35.0
