State,Year,Obesity_Rank,Obesity_Value
Alabama,2015,46.0,33.5
Alaska,2015,26.0,29.7
Arizona,2015,21.0,28.9
Arkansas,2015,50.0,35.9
California,2015,4.0,24.7
Colorado,2015,1.0,21.3
Connecticut,2015,8.0,26.3
Delaware,2015,33.0,30.7
Florida,2015,7.0,26.2
Georgia,2015,32.0,30.5
Hawaii,2015,2.0,22.1
Idaho,2015,21.0,28.9
Illinois,2015,23.0,29.3
Indiana,2015,44.0,32.7
Iowa,2015,35.0,30.9
Kansas,2015,38.0,31.3
Kentucky,2015,39.0,31.6
Louisiana,2015,47.0,34.9
Maine,2015,18.0,28.2
Maryland,2015,25.0,29.6
Massachusetts,2015,3.0,23.3
Michigan,2015,33.0,30.7
Minnesota,2015,15.0,27.6
Mississippi,2015,48.0,35.5
Missouri,2015,29.0,30.2
Montana,2015,9.0,26.4
Nebraska,2015,29.0,30.2
Nevada,2015,16.0,27.7
New Hampshire,2015,14.0,27.4
New Jersey,2015,10.0,26.9
New Mexico,2015,19.0,28.4
New York,2015,11.0,27.0
North Carolina,2015,26.0,29.7
North Dakota,2015,42.0,32.2
Ohio,2015,43.0,32.6
Oklahoma,2015,45.0,33.0
Oregon,2015,17.0,27.9
Pennsylvania,2015,29.0,30.2
Rhode Island,2015,11.0,27.0
South Carolina,2015,41.0,32.1
South Dakota,2015,28.0,29.8
Tennessee,2015,36.0,31.2
Texas,2015,40.0,31.9
Utah,2015,6.0,25.7
Vermont,2015,5.0,24.8
Virginia,2015,20.0,28.5
Washington,2015,13.0,27.3
West Virginia,2015,49.0,35.7
Wisconsin,2015,36.0,31.2
Wyoming,2015,24.0,29.5
United States,2015,0.0,29.6
District of Columbia,2015,0.0,21.7
