State,Year,Underemployment_Rate_Rank,Underemployment_Rate_Value
Alabama,2015,37.0,12.6
Alaska,2015,25.0,11.5
Arizona,2015,48.0,14.7
Arkansas,2015,14.0,10.2
California,2015,49.0,15.2
Colorado,2015,11.0,9.4
Connecticut,2015,37.0,12.6
Delaware,2015,22.0,11.2
Florida,2015,40.0,12.8
Georgia,2015,43.0,13.3
Hawaii,2015,14.0,10.2
Idaho,2015,16.0,10.3
Illinois,2015,39.0,12.7
Indiana,2015,23.0,11.3
Iowa,2015,8.0,8.8
Kansas,2015,10.0,9.1
Kentucky,2015,28.0,11.7
Louisiana,2015,23.0,11.3
Maine,2015,30.0,11.9
Maryland,2015,20.0,10.7
Massachusetts,2015,25.0,11.5
Michigan,2015,46.0,13.9
Minnesota,2015,7.0,8.7
Mississippi,2015,45.0,13.6
Missouri,2015,29.0,11.8
Montana,2015,16.0,10.3
Nebraska,2015,3.0,7.0
Nevada,2015,50.0,15.3
New Hampshire,2015,12.0,9.7
New Jersey,2015,32.0,12.4
New Mexico,2015,42.0,13.2
New York,2015,32.0,12.4
North Carolina,2015,31.0,12.1
North Dakota,2015,1.0,5.4
Ohio,2015,21.0,10.9
Oklahoma,2015,6.0,8.6
Oregon,2015,47.0,14.2
Pennsylvania,2015,27.0,11.6
Rhode Island,2015,44.0,13.5
South Carolina,2015,35.0,12.5
South Dakota,2015,2.0,6.4
Tennessee,2015,41.0,13.1
Texas,2015,13.0,9.9
Utah,2015,5.0,8.2
Vermont,2015,8.0,8.8
Virginia,2015,19.0,10.4
Washington,2015,35.0,12.5
West Virginia,2015,32.0,12.4
Wisconsin,2015,16.0,10.3
Wyoming,2015,4.0,7.5
United States,2015,0.0,12.0
District of Columbia,2015,0.0,11.9
