State,Year,Primary_Care_Physicians_Rank,Primary_Care_Physicians_Value
Alabama,2015,40.0,103.5
Alaska,2015,31.0,114.2
Arizona,2015,42.0,99.7
Arkansas,2015,39.0,105.3
California,2015,22.0,123.3
Colorado,2015,23.0,123.2
Connecticut,2015,6.0,169.0
Delaware,2015,30.0,114.3
Florida,2015,32.0,111.7
Georgia,2015,36.0,107.1
Hawaii,2015,9.0,140.9
Idaho,2015,50.0,81.5
Illinois,2015,10.0,138.8
Indiana,2015,38.0,106.7
Iowa,2015,45.0,89.0
Kansas,2015,35.0,108.3
Kentucky,2015,37.0,107.0
Louisiana,2015,20.0,125.0
Maine,2015,12.0,135.2
Maryland,2015,2.0,183.7
Massachusetts,2015,1.0,206.7
Michigan,2015,21.0,124.1
Minnesota,2015,7.0,146.2
Mississippi,2015,49.0,84.7
Missouri,2015,28.0,115.2
Montana,2015,41.0,102.6
Nebraska,2015,24.0,123.1
Nevada,2015,47.0,85.6
New Hampshire,2015,11.0,137.5
New Jersey,2015,8.0,145.2
New Mexico,2015,26.0,119.9
New York,2015,5.0,170.1
North Carolina,2015,27.0,119.7
North Dakota,2015,25.0,122.4
Ohio,2015,15.0,129.7
Oklahoma,2015,48.0,85.2
Oregon,2015,14.0,134.6
Pennsylvania,2015,13.0,135.1
Rhode Island,2015,4.0,179.6
South Carolina,2015,34.0,108.8
South Dakota,2015,29.0,114.9
Tennessee,2015,18.0,126.4
Texas,2015,43.0,99.4
Utah,2015,44.0,90.5
Vermont,2015,3.0,181.3
Virginia,2015,17.0,127.2
Washington,2015,16.0,128.2
West Virginia,2015,33.0,109.2
Wisconsin,2015,19.0,125.3
Wyoming,2015,46.0,88.7
United States,2015,0.0,127.4
District of Columbia,2015,0.0,325.5
