State,Year,Cancer_Deaths_Rank,Cancer_Deaths_Value
Alabama,2015,43.0,211.6
Alaska,2015,32.0,194.1
Arizona,2015,5.0,169.6
Arkansas,2015,46.0,216.9
California,2015,6.0,170.1
Colorado,2015,3.0,162.2
Connecticut,2015,7.0,174.6
Delaware,2015,36.0,199.1
Florida,2015,14.0,182.0
Georgia,2015,29.0,192.8
Hawaii,2015,2.0,155.4
Idaho,2015,9.0,175.8
Illinois,2015,34.0,198.6
Indiana,2015,42.0,208.8
Iowa,2015,31.0,193.7
Kansas,2015,25.0,191.0
Kentucky,2015,50.0,228.8
Louisiana,2015,47.0,217.9
Maine,2015,39.0,204.3
Maryland,2015,21.0,188.0
Massachusetts,2015,20.0,185.6
Michigan,2015,35.0,198.7
Minnesota,2015,11.0,179.5
Mississippi,2015,49.0,225.8
Missouri,2015,40.0,206.3
Montana,2015,13.0,180.1
Nebraska,2015,19.0,185.4
Nevada,2015,22.0,188.1
New Hampshire,2015,24.0,190.8
New Jersey,2015,17.0,183.6
New Mexico,2015,4.0,167.3
New York,2015,12.0,179.9
North Carolina,2015,33.0,195.2
North Dakota,2015,10.0,176.0
Ohio,2015,41.0,207.6
Oklahoma,2015,45.0,215.8
Oregon,2015,27.0,192.1
Pennsylvania,2015,37.0,199.6
Rhode Island,2015,28.0,192.4
South Carolina,2015,38.0,203.2
South Dakota,2015,18.0,184.8
Tennessee,2015,44.0,213.7
Texas,2015,15.0,182.3
Utah,2015,1.0,146.1
Vermont,2015,25.0,191.0
Virginia,2015,23.0,189.2
Washington,2015,16.0,182.8
West Virginia,2015,48.0,221.6
Wisconsin,2015,30.0,193.3
Wyoming,2015,7.0,174.6
District of Columbia,2015,0.0,204.9
United States,2015,0.0,189.6
